# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

str_no_string|NO STRING!
str_npc12_backstory_b|I'm a nerf herder. Have been all my life.  Now I can already see the smile on your face, so drop it. If it weren't for us, your belly would be a lot leaner, and your crew a lot hungrier.  Anyways, I decided there was probably a galaxy beyond the fur and stink, so I sold my whole herd to buy transport offworld and to the nearest major spaceport.
str_npc13_backstory_b|I'm a merchant by trade. I deal in the things that people only think they need. There are people out there who think they need to be prepared for every possible threat. So I make up a threat and then the cure. The way I look at it, a toy whistle I sell as a Drux Lizard call probably calls something somewhere, so it's not a complete lie. Unfortunately, I picked up a trail of angry customers who don't agree with me on that.
str_npc14_backstory_b|I am a mercenary by trade, much as yourself, no doubt. And I have learned that the more you sweat your men, the more blood you'll save them and the more tears you'll save their wives. Unfortunately, the last captain I served as lieutenant to didn't see things quite the same way. I'm sure he regretted that when his men broke under pressure, tried to flee, and ended up taking Imperial blaster bolts to the back. Regret doesn't bring a man back, though, and I swore I'd never work for a soft captain again.
str_npc15_backstory_b|I was a Jedi initiate once, back in the old days. I wasn't much for feeling the living Force, but I had a head for names, dates, and figures. A Jedi librarian, they made me, and I was a happy one. I focused my studies on architecture, a fascinating field, and became a good architect in my own right. After the Purge, I was able to leave the order and put my skills to use. Only now there's not much call for building; everyone just wants to tear things down. Well, I can do that too.
str_npc16_backstory_b|I'm a hunter. A damn good hunter. Probably the best you'll see. I'm Echani, or at least half-Echani.  Can't speak for my father, I'm sure you know how it is.  But I can slip a vibroknife through whatever defenses you think you can offer. Darkness, seclusion, durasteel, blasters, lightsabers, whatever.  There's always a weak spot in their armor; there's always a sound in the shadows; there's always hole in their form.
str_npc17_backstory_b|I am a protocol droid trained in a variety of skills.
str_npc18_backstory_b|I am a protocol droid trained in a variety of skills.
str_npc1_backstory_c|It's a rough galaxy, with rough rules. So, are we going to be playing on the same team or not?
str_npc2_backstory_c|Well then, now that you know what I am, was there something you wished to ask me, or were you simply attempting to disturb an old Jedi trying to live his life in quiet peace?
str_npc3_backstory_c|See, look at your glass...Well, it didn't work that time, but I promise I've done it many times before!  I'm sure I just need to get off this world and get some experience, and I'll be a great Jedi yet!
str_npc4_backstory_c|So here's the deal.  Hire me and you've got yourself the best pilot in this sector, no strings attached.
str_npc5_backstory_c|I am certain that he is as we speak plotting revenge.  I need a way off this planet.
str_npc6_backstory_c|I mean, sure, it gets rough from time to time, but I can take on anyone in a fight.  Though that piggy's likely to bring back friends...hey, want an enforcer?  I'm probably going to need a ride off this rock soon anyway.  Might as well get paid for doing what I love, eh?
str_npc7_backstory_c|I need a ride off this planet and soon.  I've got a politician's tongue; I can get you the best deals for whatever your freighter is hauling.  I'll more than pay for my bunk.
str_npc8_backstory_c|Look, I know I just tried to arrest you, but please, I'm not cut out for this work, captain.  And the Hutts have dropped thousands on my training and expenses, and I owe them a bounty or I'll owe them my head.
str_npc9_backstory_c|Ring any bells?  Now unless you're here to buy holovid rights for a documentary on my engaging tragedy, or here to sponsor me for a race, leave me be.
str_npc10_backstory_c|I'm not interested in the Imperials telling me they're fighting for order, or the Rebels saying they're fighting for liberty, or even the Hutts saying they're fighting for a buck. I'm interested in a captain who will fight the good fight for its own sake.
str_npc11_backstory_c|He was a cruel man indeed; he treated those poor people who could afford no better, and...and he ordered me to mistreat patients so they would die and he could do...things...to them. I'll spare you the particulars, but my master is now deservedly dead and I am certain I will be hunted for it once they piece the bits of him back together.
str_npc12_backstory_c|I'm looking to see the galaxy. I don't suppose you could give me a job on your crew?
str_npc13_backstory_c|Bring me aboard, friend, and I guarantee I'll repay you twenty times over. Sucker born every nanosecond in this galaxy, and if I could only get to other planets I'd get to sell to more of 'em.
str_npc14_backstory_c|So, if you know of any captain who believes that the best way to protect his soldiers is to grind out the cowards and fools from their ranks, do let me know.
str_npc15_backstory_c|I'm just looking for a steady income. If you need something built, I'll build it better and quicker than anyone else. If you need something brought down, well, that's not as rewarding, but I can do that too.
str_npc16_backstory_c|But that's beside the point.  Client, prey, or fool: which are you?
str_npc17_backstory_c|¿Cuales son tus órdenes?
str_npc18_backstory_c|¿Cuales son tus órdenes?
str_npc1_backstory_later|The same thing anyone does.  I'm getting by, and trying not to think of the consequences.
str_npc2_backstory_later|I've been laying low as best I can, but I can't help but worry that I've lost my cover.
str_npc3_backstory_later|Well, my self-training is coming along very well!  Just yesterday I was able to push a glass off the bar, and it fell and broke!  But I could not share my joy with anyone, for then I would have had to pay for the glass.
str_npc4_backstory_later|I've been looking for a captain to get me off this rock, but no takers.
str_npc5_backstory_later|I've been laying low, trying to avoid drawing attention to myself.
str_npc6_backstory_later|Ha ha! I've been drinking, gambling, and fighting, and making enemies aplenty in the process.  Wouldn't mind a ticket to a new planet and a clean slate.
str_npc7_backstory_later|I have been hiding, trying to avoid giving anyone any reason to suspect my identity.  I would happily join your freighter crew if you have an opening.
str_npc8_backstory_later|I am trying desperately to come up with a bounty.  Time grows short, and the Hutts grow impatient.
str_npc9_backstory_later|I've run a few street races, and I've won most of them.  But one loss is enough to cancel out ten wins. Fans like you don't understand that.
str_npc10_backstory_later|I'm still looking for a captain who'll fight for all the right reasons.
str_npc11_backstory_later|I've been hiding, of course. I hear rumors that they're after me, and I hear rumors that nobody even knows my master is dead yet. But when they find me, they will torture me, and they will kill me.
str_npc12_backstory_later|I've been finding odd jobs, but I'm still looking for a career in the space lanes.
str_npc13_backstory_later|I've come up with a great idea for a Alderaan Flu vaccine. All I need are some legit-looking needles and some clean water and I'm in business.  But you wouldn't be interested in helping me get offworld, would you?
str_npc14_backstory_later|I've gone from spaceport to spaceport, but still haven't found a captain who's willing to do what needs to be done to run a tight ship.
str_npc15_backstory_later|I've been going from planet to planet, looking for takers for my services, but this isn't a galaxy where architecture is in high demand.
str_npc16_backstory_later|Hunting.  Do you have a target for me?
str_npc17_backstory_later|Hola, Maestro. ¿Cuales son tus órdenes?
str_npc18_backstory_later|Hola, Maestro. ¿Cuales son tus órdenes?
str_npc1_backstory_response_1|I like the way you think.
str_npc2_backstory_response_1|Would you care to join my company of mercenaries?
str_npc3_backstory_response_1|A budding Force-sensitive is always welcome. We'll help you as best we can.
str_npc4_backstory_response_1|I could use a good pilot.
str_npc5_backstory_response_1|It sounds like you can fight.  I run a company of mercenaries.
str_npc6_backstory_response_1|Sounds like you can bust heads. I could use an enforcer.
str_npc7_backstory_response_1|Actually, I'm a merc.  Still interested?
str_npc8_backstory_response_1|Surely you aren't asking me to volunteer to be your bounty?
str_npc9_backstory_response_1|I don't know anything about swoops.  I'm a mercenary.
str_npc10_backstory_response_1|You've got the right outlook. Fight with me, and we'll fight until the end.
str_npc11_backstory_response_1|That's horrifying. I can get you off this planet.
str_npc12_backstory_response_1|Well, you could travel with us, but you'd have to be able to fight.
str_npc13_backstory_response_1|I might be able to use an extra hand, if you don't try to scam my crew.
str_npc14_backstory_response_1|I might be able to use you in my crew.
str_npc15_backstory_response_1|Well, we might have a use for you.
str_npc16_backstory_response_1|I have a slightly different proposition, if you'll hear me out...
str_npc17_backstory_response_1|Únete a mi grupo.
str_npc18_backstory_response_1|Únete a mi grupo.
str_npc1_backstory_response_2|I'm sorry, but I don't think we'll be working together.
str_npc2_backstory_response_2|I'm sorry to have bothered you.
str_npc3_backstory_response_2|I'd rather not bring aboard a child with delusions of Force powers.
str_npc4_backstory_response_2|I don't have a habit of hiring deserters.
str_npc5_backstory_response_2|I have no interest in dealing with murderous muscleheads.
str_npc6_backstory_response_2|Sorry, I'm not looking for a degenerate thug.
str_npc7_backstory_response_2|I'm not interested in anyone with a bounty on their head.
str_npc8_backstory_response_2|You are pathetic.  Get away from me.
str_npc9_backstory_response_2|You're a self-absorbed washout. Bye.
str_npc10_backstory_response_2|You're a bloodthirsty maniac.  I hope your death comes quickly.
str_npc11_backstory_response_2|Your story is sad, but you are a murderer. Get away.
str_npc12_backstory_response_2|Sorry. You're too scruffy-looking.
str_npc13_backstory_response_2|No, sorry. I'd rather not pal around with a scammer.
str_npc14_backstory_response_2|I'll let you know if I hear of anything. Goodbye.
str_npc15_backstory_response_2|Sorry, we need soldiers, not scholars.
str_npc16_backstory_response_2|I'm very sorry to waste your time.
str_npc17_backstory_response_2|I don't need your skills at this time.
str_npc18_backstory_response_2|I don't need your skills at this time.
str_npc1_signup|Perfecto, entonces.
str_npc2_signup|You're bold, asking that of a Jedi.
str_npc3_signup|Really?  I will be able to travel and learn to harness my probably great powers?  Thank you!
str_npc4_signup|And you'll not find a better one elsewhere.
str_npc5_signup|Why, that is a most generous offer.
str_npc6_signup|Me suena bastante bien.
str_npc7_signup|Oh, incluso mejor!
str_npc8_signup|No, no, no, of course not, of course not!  I'm not much of a bounty hunter, but I can shoot, and I can scrap in a close-up fight. Take me on to fight with you, and I'll put what credits I make towards repaying the Hutts.
str_npc9_signup|Really?  That changes things.  That changes everything!
str_npc10_signup|Now that sounds like a place for me.
str_npc11_signup|Will you? You're not going to turn me in for the bounty? Oh, thank you!
str_npc12_signup|Well, I don't know much about fighting in wars, but to be a good herder you have to be strong as a bull nerf and have the eye and the cunning of a manka cat. I reckon there's not much out there that's harder to fend off than a ravenous manka after your herd.
str_npc13_signup|Sounds good, my friend, sounds good.  I'll even throw in an extra case of chrono-anomaly prevention wristbands if you upgrade me to first class!
str_npc14_signup|Well, I certainly wouldn't mind an opportunity to get back to the spacefaring life.
str_npc15_signup|Well, I would certainly be happy to come along. If you plan on reducing an enemy stronghold, there's no sharper man for the job. If you need someone to build a school or a tower, so much the better.
str_npc16_signup|...Oh, I see.  So you're a mercenary.  Well, now there's an interesting proposition indeed.  The petty crime lords and delinquent gamblers I usually hunt aren't a challenge at all.  They can't fight back.  Don't even know I'm coming.  I'm a hunter, and what I do here is scarcely hunting at all.  It's more murder, and murder isn't very interesting at all. 
str_npc17_signup|Sí, Maestro.
str_npc18_signup|Sí, Maestro.
str_npc1_signup_2|I don't need to sell you on my skills, I know a captain like you can tell more from looking than I could tell by talking.  Will we call it a partnership?
str_npc2_signup_2|But I know that unlike a clone or a droid, a mercenary can be trusted so long as he is paid.  His loyalty is to his wallet and not to the hidden schemes of some programmer.  And now that I know I can be sensed, I need loyal companions.
str_npc3_signup_2|I think you would find I would be a most valuable addition to your ranks. I can sometimes levitate a cup for a little bit, I can occasionally push things around tables if I try very hard, and I know the names of many of the lightsaber fighting styles.
str_npc4_signup_2|I'm the best pilot in this quadrant, bar none.  I can fly anything with engines.  I could make a pre-Imperial, rusted-through freight hauler outrun a Star Destroyer.  So what do you say?
str_npc5_signup_2|Though I have left the days of inflicting violence for credits behind, it seems now I must inflict violence to buy my own safety.  That is the way of this galaxy, it seems, and I appreciate your kind offer.
str_npc6_signup_2|Though I should warn you, I'm not the type to just take it when people act out of line.  If someone steps on my toes, they get it in the face, right?  Tell your boys to keep off my back, and I'll watch yours.
str_npc7_signup_2|The two-bit thugs after me wouldn't dare cross anyone capable of shooting back.  I'm not very familiar with a blaster, but I'm a quick study and I'll gladly learn anything you can teach me.
str_npc8_signup_2|I understand if you don't trust me, but I swear to you now that I don't mean you harm.  Please.  I only look for a way to pay back the Hutts, and I can do that better as a mercenary under your wing than as a bounty hunter.
str_npc9_signup_2|Look, I need my bank account back, and I don't care what I have to do to get it. I want what's mine, and when you're talking about fortunes the size of the one I'm talking about, tact goes out the window. I can ride, and I can shoot, but I need to learn how to command a crew and win a battle. I'll fight alongside you as long as you want. Then, I'll take what I've learned and take back my birthright.
str_npc10_signup_2|You won't regret taking me on. I may not be as young as most soldiers, but I've got fifty years' worth of tactics in this head, and a warrior spirit that's sadly lacking in this galaxy.
str_npc11_signup_2|I learned many things I'd like to forget over my life, but I've learned many things that will serve you well also. I can stabilize a critically wounded patient, I can administer field bacta treatments, and I can use a thin vibroblade to separate infected tissue. And to do other...similar things, as my master found out.
str_npc12_signup_2|What I don't know, I can learn, and what I do know, nobody can teach. Give me an opportunity to show you what a nerf-herder can do out there, and you won't regret it.
str_npc13_signup_2|And I can offer you a simple hardware upgrade that will triple your engine efficiency if you only...
str_npc14_signup_2|I'm a career soldier, born and bred for fighting. And I can take a rabble of soft misfits and turn them into soldiers nearly as good as I am, if you're willing to work the weakness out of them.
str_npc15_signup_2|I can take care of myself with a blaster or a lightsaber, too.  I may be an architect by trade, but I've still got Jedi training when you get down to it.
str_npc16_signup_2|Well, if the pay's good, and if you promise me the opportunity to use my skills on a regular basis,  I'm all yours, captain.
str_npc17_signup_2|¿Te veré en la nave?
str_npc18_signup_2|¿Te veré en la nave?
str_npc1_signup_response_1|Then it's a partnership.
str_npc2_signup_response_1|I would be happy to travel with you.
str_npc3_signup_response_1|Well, that's a start.  I think we can help you with the rest.
str_npc4_signup_response_1|Then I think we have a deal.
str_npc5_signup_response_1|Certainly.  Let us be on our way.
str_npc6_signup_response_1|There won't be any problems. Get your things in order.
str_npc7_signup_response_1|Welcome aboard, then.
str_npc8_signup_response_1|So long as I keep you pointed in the right direction, I think you'll work well.
str_npc9_signup_response_1|Sure.  Meet me at my ship and we'll get started.
str_npc10_signup_response_1|You'll find that spirit in my company. Welcome aboard.
str_npc11_signup_response_1|You will be welcome on our ship.
str_npc12_signup_response_1|Then welcome to our company, nerf-herder.
str_npc13_signup_response_1|You do realize that we are mercenaries and not simple traders, right?
str_npc14_signup_response_1|Good. I'll be happy to hire someone like you.
str_npc15_signup_response_1|That works for me. I will be happy to hire you.
str_npc16_signup_response_1|It sounds like you can do the job. You're hired.
str_npc17_signup_response_1|Sí.
str_npc18_signup_response_1|Sí.
str_npc1_signup_response_2|I'm sorry, but I don't think I can use you.
str_npc2_signup_response_2|I do not want to risk bringing aboard a Jedi who cannot disguise himself.
str_npc3_signup_response_2|Actually, that doesn't sound particularly useful.
str_npc4_signup_response_2|Actually, I do not want to take the risk of hiring a deserter.
str_npc5_signup_response_2|On second thought, a hot-tempered gladiator does not sound like a safe companion.
str_npc6_signup_response_2|Actually, a mercenary life is a hard one.  I don't think you have the discipline for it.
str_npc7_signup_response_2|A price on your head is bad enough, but if you can't even fight you're no good to me.
str_npc8_signup_response_2|I'm not going to hire anyone who tried to capture me for a bounty.
str_npc9_signup_response_2|I don't need a self-important swoop jockey pretending to be a soldier.
str_npc10_signup_response_2|On second thought, too much bloodthirstiness can be a bad thing.
str_npc11_signup_response_2|Your story is tragic, but you need counseling, not combat.
str_npc12_signup_response_2|Dodging a blaster bolt ain't like shooing pests, kid.  You're in over your head.
str_npc13_signup_response_2|On second thought, I can't stand you.  Get out of here.
str_npc14_signup_response_2|Actually, I have no wish to provoke a mutiny in my crew. Good day, sir.
str_npc15_signup_response_2|Actually, I need a different kind of expertise. My apologies.
str_npc16_signup_response_2|On second thought, you seem a bit too dangerous.
str_npc17_signup_response_2|Actually, I don't need your skills at this time.
str_npc18_signup_response_2|Actually, I don't need your skills at this time.
str_npc1_payment|All right then. {reg3} credits, and we'll call it a deal.  Are we in, or are you going to walk out that door alone?
str_npc2_payment|.
str_npc3_payment|.
str_npc4_payment|Sounds good, sounds very good. Just one more thing before we leave.  The last captain I asked for a job decided to head off to see what kind of bounty an Imperial deserter would fetch.  I know a few people who can clear my record, but I'm going to need {reg3} credits to grease a few palms before I can show my face in public
str_npc5_payment|Thank you. Though I appreciate what you have offered to do for me, I'm going to have to ask for {reg3} credits before I can go with you.  I'm going to need to buy a false ID if I want to get off this planet without any undue entanglements.
str_npc6_payment|.
str_npc7_payment|All right then. I will come with you. But I would very much like a payment of {reg3} credits first.  I have recently pawned a family heirloom, and I could not leave this planet without it.
str_npc8_payment|Great!  I promise I won't let you down! ...but, there is one problem. Before I can get off the system, I need {reg3} credits. As a down payment, see.  If the Hutts think I'm skipping out on them, I'll be a risk to you and your entire crew.
str_npc9_payment|Good, good...but I confess I promised a particularly enthralling Twi'lek dancer I'd win a race for her tonight, and I'm short the {reg3} credit entry fee.  If you can cover me, it'd mean a lot to me.
str_npc10_payment|That's good news. But I'll ask for one last thing, captain. I have a woman in the residential sector, and she says she has my child in her belly. I want to give her some money before I leave... for the child, you know. I don't want it growing up weak. Do you think you can spare {reg3} credits?
str_npc11_payment|Thank you so much. I know I've asked so much, but could I please ask for {reg3} credits more? I have only remained hidden over the last two weeks through the charity of the barkeep's family, and I should very much like to ensure they are repaid before I leave.
str_npc12_payment|.
str_npc13_payment|Ah, well, no, I was not.  In that case, I am still willing to come aboard, as I think my life will be equally in danger here once my customers grow a brain cell or two.  All I will ask is a mere {reg3} credits to cover a little insurance policy, and I will call you my captain.
str_npc14_payment|Ah, one last thing. I would ask for an initial bounty of {reg3} credits before I join your command. It's my principle never to enter someone's service without receiving the payment I deserve.
str_npc15_payment|Good. By the way, as a skilled architect I would expect a payment for my services. A signing bonus of {reg3} credits would be fair, I think.
str_npc16_payment|Not that fast, I'm not.  I said 'if the pay's good', and in my line of work, we get paid up front.  If you want me to leave this cantina with you, it'll cost you {reg3} credits in addition to my weekly expenses. If you can pay it, we have a deal.  If you can't, then I think you should stop looking at merchandise you can't afford, captain.
str_npc17_payment|.
str_npc18_payment|.
str_npc1_payment_response|Certainly. Here's your payment, partner.
str_npc2_payment_response|.
str_npc3_payment_response|.
str_npc4_payment_response|Certainly. Here's {reg3} credits.
str_npc5_payment_response|Well... here's {reg3} credits, then. Meet me on the ship.
str_npc6_payment_response|.
str_npc7_payment_response|I understand completely. Here's {reg3} credits.
str_npc8_payment_response|I understand. Here are {reg3} credits. Go get your affairs in order.
str_npc9_payment_response|Well, here's your credits, but the next races are on your own credstick.
str_npc10_payment_response|Of course. Here, {reg3} credits.
str_npc11_payment_response|Of course. Take these {reg3} credits, and get on the ship. We leave soon.
str_npc12_payment_response|.
str_npc13_payment_response|Of course, here's {reg3} credits. Make ready to leave soon.
str_npc14_payment_response|All right, here's {reg3} credits. You are most welcome in our company.
str_npc15_payment_response|All right, here's {reg3} credits. Glad to have you with us.
str_npc16_payment_response|All right, here's {reg3} credits for you. Make yourself ready.
str_npc17_payment_response|.
str_npc18_payment_response|.
str_npc1_morality_speech|Oy -- boss. Please don't take this the wrong way, but it's a hard life and it's a bit much that we {s21}. Take a little more care in the future, captain, if you don't mind my saying.
str_npc2_morality_speech|I hope you don't mind my saying so, but it's a bit hard for me to see us {s21}. Maybe I ought to try to be more of a hardened soldier, but if we could try to exercise a little mercy from time to time, I'd sleep better.
str_npc3_morality_speech|Perhaps it is not my place to say so, {sir/madame}, but I confess that I am somewhat shocked that we {s21}. Of course I realize that war is cruel, but there is no need to make it more cruel than necessary.
str_npc4_morality_speech|Your pardon -- just so you know, the men of the House of Rolf do not care to {s21}. I will not be pleased if you continue to take this course.
str_npc5_morality_speech|Pardon me, captain. It is not good to {s21}. Your first duty is to the men who have taken your salt. The least they can expect is food, pay, the opportunity to loot, and that you not waste their lives needlessly.
str_npc6_morality_speech|Excuse me, {sir/madame}. As you know, I joined with you to right wrongs, protect the innocent, and make amends for my sin. I did not expect to {s21}.
str_npc7_morality_speech|Captain -- I do not like to see us {s21}. Such are the actions of a common bandit chief, with no regard for his followers.
str_npc8_morality_speech|I was not pleased that you decided to {s21}. To fall in battle is an honour, but to fight in a warband led by a coward is a disgrace.
str_npc9_morality_speech|{Sir/Madame} -- it is not my way to {s21}. Men of my house will accept death but not dishonour. Please do not make me ashamed to serve under you.
str_npc10_morality_speech|Begging your pardon, captain. I can't say that I'm happy to see us {s21}. Those are just simple people, trying to make a living. If we could try to go easy on the poor wretches, captain, I'd feel much better.
str_npc11_morality_speech|Excuse me, captain. It's not good that we {s21}. I've followed armies and warbands for 30 years, and the least the soldiers expect of a leader is to feed them, pay them, and do {his/her} best to keep their sorry skins intact as best {he/she} can.
str_npc12_morality_speech|Captain -- I do not like to see us {s21}. I am prepared to be a warrior, but not a brigand. Pray let us try to show a little more compassion.
str_npc13_morality_speech|Captain, if we can avoid it, I'd prefer not to {s21}. In this Galaxy news travels fast, and one's reputation is precious. I would not care for one of my rivals to include this latest unfortunate incident in a satirical verse.
str_npc14_morality_speech|I do not care to {s21}. No one with a reputation for cowardice will be properly feared by his men.
str_npc15_morality_speech|{Sir/Madame} -- just so you know my opinion, any commander with sense will not let his company {s21}.I hope you don't mind me speaking so bluntly.
str_npc16_morality_speech|Captain. I don't like to {s21}. So many throats left uncut, and so many purses left unexplored...
str_npc17_morality_speech|Master, you should be aware that some of your behavior may violate Galactic Law.
str_npc18_morality_speech|Master, you should be aware that some of your behavior may violate Galactic Law.
str_npc1_2ary_morality_speech|Boss -- just so you know, I've got no problem if we {s21}. Living to fight another day makes good sense to me.
str_npc2_2ary_morality_speech|{Sir/Madame} -- I'm not altogether happy that we {s21}. I'm a merchant, and in our business one is bonded by one's word. I don't want a reputation for dishonesty -- that would spell my end as a trader, {sir/madame}.
str_npc3_2ary_morality_speech|{Sir/Madame} -- I think it was a brave decision you took to {s21}. There is no shame in finding a way to avoid the spilling of blood.
str_npc4_2ary_morality_speech|Your pardon -- whatever anyone else says, I think nothing of it that you {s21}. You should adopt whatever ruse you need to survive in these troubled times.
str_npc5_2ary_morality_speech|[No secondary moral code]
str_npc6_2ary_morality_speech|{Sir/Madame} -- you may choose to {s21}, but would prefer to have no part in it. Such is not the path to my redemption.
str_npc7_2ary_morality_speech|[No secondary moral code]
str_npc8_2ary_morality_speech|[No secondary moral code]
str_npc9_2ary_morality_speech|Captain, I am dismayed that you {s21}. A {gentleman/gentlewoman} such as yourself should exhibit the highest standards of honour at all times.
str_npc10_2ary_morality_speech|{Brother/Sister} -- I can't say I like to see us {s21}. You should treat your men well, and they'll repay with interest.
str_npc11_2ary_morality_speech|[No secondary moral code]
str_npc12_2ary_morality_speech|[No secondary moral code]
str_npc13_2ary_morality_speech|[No secondary moral code]
str_npc14_2ary_morality_speech|Captain -- you should not let it bother you that you {s21}. Armies are made to do their leaders' bidding, and hardships are part of a soldier's life.
str_npc15_2ary_morality_speech|You know, friend {playername}, it's none too reassuring to see how you just {s21}. If you can break your word to them, you can break your word to me, is how I figure it.
str_npc16_2ary_morality_speech|Captain -- just so you know, it's no problem by me that we {s21}. We do what we need to do to live, and they'd do the same to us if they were in our shoes.
str_npc17_2ary_morality_speech|Galactic Law is not enforced in all planets, but you should still be cautious around populated ones.
str_npc18_2ary_morality_speech|Galactic Law is not enforced in all planets, but you should still be cautious around populated ones.
str_npc1_personalityclash_speech|Captain -- no offense, but I'm a bit tired of {s11}, who puts on airs like she's something better than your humble servant Borcha.
str_npc2_personalityclash_speech|{Sir/Madame} -- as you recall I was a merchant before I signed on with you. I respect men who make their living peacefully, risking all to bring goods for far away lands.
str_npc3_personalityclash_speech|Captain -- in my opinion, {s11} is a hard and cruel man. He speaks of nothing but the need to flog, beat, and hang his fellow soldiers.
str_npc4_personalityclash_speech|{Sir/Madame}. The House of Rolf is one of the most ancient and respected families in this part of the world, with a provenance dating back to the Old Calradic Empire. Yet {s11} openly shows me disrespect, and casts doubt on the provenance of my house.
str_npc5_personalityclash_speech|A moment of your time, captain. {s11} seems to think me a common bandit, just because I have rewarded myself in the past to the legitimate spoils of war from caravans passing through my family's lands.
str_npc6_personalityclash_speech|Your pardon, {sir/madame}, but I cannot keep my tongue stilled any longer. That harlot, {s11} -- every time she sees me she points the five fingers of her hand at me -- a peasant's sign to ward off evil.
str_npc7_personalityclash_speech|Captain, I have done my best to put up with your followers' rude talk and filthy habits. But that one who calls himself {s11} is beyond tolerance.
str_npc8_personalityclash_speech|Just so you know, I cannot abide that insolent mountebank {s11}. Some minutes ago, I was remarking to our companions how the peasants of this region were more than usually slack-jawed and beetle-browed, and speculated that perhaps they had bred with apes.
str_npc9_personalityclash_speech|Sir -- {s11} is a base braggart, a man with no respect for the honour of women. I am tired of hearing how he conquered this or that damsel.
str_npc10_personalityclash_speech|Excuse me, captain. I hate to trouble you with such things, but I just wanted to let you know that I can't abide that fellow Rolf, the one who calls himself a baron.
str_npc11_personalityclash_speech|Begging your pardon, captain, but I can't keep silent. That man, {s11} -- he killed his own brother.
str_npc12_personalityclash_speech|My lord. The barbarian woman, {s11}, complained of headaches -- a possible symptom of excess of sanguinity. I thought to apply my leeches.
str_npc13_personalityclash_speech|Captain, I weary of {s11}, who talks of nothing but chivalry and feats of arms.
str_npc14_personalityclash_speech|Captain. It is a pleasure going into battle with men like {s11} by my side.
str_npc15_personalityclash_speech|Excuse me. I hope you don't mind me telling you that in my opinion, that girl {s11} is a danger to the party. She's a feral brat, disrespectful of authority and the basic principles of the military art.
str_npc16_personalityclash_speech|Oy, captain. Just so you know -- there's something funny about {s11}. He makes strange scrawlings in the dirt, and mutters to himself.
str_npc17_personalityclash_speech|Master, a member of your crew just tried to sell me for scrap metal.
str_npc18_personalityclash_speech|Master, a member of your crew just tried to sell me for scrap metal.
str_npc1_personalityclash_speech_b|She's a common bandit, just like myself, and she has no right to tell me to keep my distance from her, as she did just now.
str_npc2_personalityclash_speech_b|I don't much care to hear {s11} gloat about the caravans he has looted, or he plans to loot, like he has no respect for good honest trade.
str_npc3_personalityclash_speech_b|I know that an army is not a nursery, and that strong discipline is important, but I do believe that man enjoys cruelty for cruelty's sake. I hope you do not mind me saying so.
str_npc4_personalityclash_speech_b|{Sir/madame}, these are indeed sorry days if common folk are allowed to mock their betters. That is all.
str_npc5_personalityclash_speech_b|I told him that if the warrior's way bothers him so much, that he become a priest or a beggar and so not have to worry about such things. I hope you do not mind that I said such things.
str_npc6_personalityclash_speech_b|I know the crime I committed was an abomination, but I am seeking repentance, and I deserve better than to be the object of some witch's superstition. I just thought you should know.
str_npc7_personalityclash_speech_b|I do not care for how he stares at me around the campfire after a meal, as he picks his teeth. I believe I recognize him from my days as a bandit. He is base and ignorant. I do not care to travel with such people.
str_npc8_personalityclash_speech_b|{s11}, that font of impudence, overheard me, and called me ignorant, and a savage, and other words I do not care to repeat. It was only out of respect for you that I refrained from cutting his throat then and there. I thought it only fit that I should warn you.
str_npc9_personalityclash_speech_b|If he persists, I shall tell him that he is a base varlot, and if it comes to blows I will not apologize. That is all, {sir/madame}.
str_npc10_personalityclash_speech_b|He's just a simple brigand, as far as I can tell. House of Rolf, my arse. Genuine blue-bloods are bad enough, but those who pretend to be blue-bloods are bloody intolerable. Anyway, I might have said something a bit sharp to him a minute ago. He seemed to take offense, anyway. I just thought you should know.
str_npc11_personalityclash_speech_b|He's a kinslayer, cursed by heaven, and he'll bring misfortune and sorrow upon us, that's for certain. I don't like being around him and I don't think he should be with us. That's all. Sorry for troubling you.
str_npc12_personalityclash_speech_b|But when I tried to afix them, she recoiled and struck me, and accused me of witchcraft. Captain, I am deeply tired of attending to the complaints of such an ungrateful and ignorant lot.
str_npc13_personalityclash_speech_b|Valorous deeds are all very well, but they are not the only goals worth pursuing in life. Personally, I never trust any man who has not at least once woken up drunk in a ditch, or been beaten by the slipper of his lover.
str_npc14_personalityclash_speech_b|He is a professional soldier, and though he may not be as fast on his feet as some others, he knows the wisdom of holding together in a disciplined battle-line. You showed good sense in bringing him into this company.
str_npc15_personalityclash_speech_b|What's more, I suspect she's a thief. I found her going through my baggage and pawing some of my schematics, and she pulled a knife on me when I thought fit to object. A wise captain would not allow her in his company.
str_npc16_personalityclash_speech_b|Fearing witchcraft, I asked him about it, and he told me that a chit of a girl like myself should mind her own business. So I had a look in his baggage, and found strange plans and diagrams. I think he's a sorceror, {sir/madame}, and if I catch him trying to hex me he'll have a knife in his throat.
str_npc17_personalityclash_speech_b|Luckily, the scrap yard said I wasn't worth anything so they brought me back to the ship.
str_npc18_personalityclash_speech_b|Luckily, the scrap yard said I wasn't worth anything so they brought me back to the ship.
