dlga_start:member_talk|¿Sí?
dlga_lord_start:lord_follow_spy_half_completed|Blast and damn you! I wanted TWO prisoners, {playername} -- what you've brought me is one step short of useless! I already know everything the spy knows, it was the handler I was after. Here, half a job gets you half a reward. Take it and begone.
dlga_lord_start:lord_follow_spy_half_completed.1|I asked you for two prisoners, {playername}, not one. Two. Still, I suppose you did capture the spy's handler, the more important one of the pair. The spy will not dare return here and will prove quite useless to whatever master he served. 'Tis better than nothing. However, you'll understand if I pay you half the promised reward for what is but half a success.
dlga_lord_start:lord_follow_spy_failed|Truly, {playername}, you are nothing short of totally incompetent. Failing to capture both the spy AND his handler plumbs astonishing new depths of failure. Forget any reward I offered you. You've done nothing to earn it.
dlga_lord_follow_spy_half_completed:lord_pretalk|I did my best, {s65}.
dlga_lord_follow_spy_completed:lord_pretalk|Thank you, {s65}.
dlga_lord_follow_spy_failed:lord_pretalk|Hrm. As you like, {s65}.
dlga_lord_start:lord_generic_mission_completed.2|Damn me, but you've done it, {playername}. All the serfs are back and they're busy preparing for the harvest. You certainly earned your reward. Here, take it, with my compliments.
dlga_lord_start:lord_bring_back_runaway_serfs_failed|{playername}. I have been waiting patiently for my serfs, yet none have returned. Have you an explanation? Were you outwitted by simple fieldhands, or are you merely incompetent? Or perhaps you are plotting with my enemies, intending to ruin me...
dlga_lord_bring_back_runaway_serfs_failed:lord_bring_back_runaway_serfs_failed_1a|Forgive me, {s65}, those serfs were slippery as eels.
dlga_lord_bring_back_runaway_serfs_failed:lord_bring_back_runaway_serfs_failed_1b|Perhaps if you had treated them better...
dlga_lord_bring_back_runaway_serfs_failed_1a:lord_pretalk|Hmph, that is hardly an excuse for failure, {playername}. Now if you will excuse me, I need to recruit new men to work these fields before we all starve.
dlga_lord_bring_back_runaway_serfs_failed_1b:close_window|Hah, now you reveal your true colours, traitor! Your words match your actions all too well. I should never have trusted you.
dlga_lord_start:lord_runaway_serf_half_completed|You disappoint me, {playername}. There were 3 groups of serfs that I charged you to return. 3. Not {reg17}. I suppose the ones who did come back shall have to work twice as hard to make up for those that got away. As for your reward, {playername}, I'll only pay you for the serfs you returned, not the ones you let fly. Here. Take it, and let this business be done.
dlga_lord_runaway_serf_half_completed:lord_pretalk|Thank you, {s65}. You are indeed generous.
dlga_lord_runaway_serf_half_completed:lord_pretalk.1|Bah, this proved to be a waste of my time.
dlga_lord_start:lord_deal_with_bandits_completed|{playername}, I was told that you have crushed the bandits at the planet of {s5}. Please know that I am most grateful to you for that. Please, let me pay the expenses of your campaign. Here, I hope these {reg14} credits will be adequate.
dlga_lord_deal_with_bandits_completed:lord_pretalk|Not a problem, {s65}.
dlga_lord_deal_with_bandits_completed:lord_pretalk.1|Glad to be of service.
dlga_lord_deal_with_bandits_completed:lord_pretalk.2|It was mere child's play.
dlga_lord_start:lord_pretalk.2|Damn it, {playername}. I heard that you were unable to drive off the bandits from the planet of {s5}, and thanks to you, part of the planet now lies in ruins. Everyone said that you were a capable warrior, but appearently, they were wrong.
dlga_lord_start:lord_deliver_cattle_to_army_thank|Ah, {playername}. My quartermaster has informed me of your delivery, a herd of {reg13} nerfs, as I requested. I'm impressed.
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk|Not a problem, {s65}.
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk.1|Glad to be of service.
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk.2|Mere child's play.
dlga_lord_start:lord_scout_waypoints_thank|You make a good scout, {playername}. My runner just brought me your reports of the mission to {s13}, {s14} and {s15}. Well done.
dlga_lord_scout_waypoints_thank:lord_pretalk|A simple task, {s65}.
dlga_lord_scout_waypoints_thank:lord_pretalk.1|Nothing I couldn't handle.
dlga_lord_scout_waypoints_thank:lord_pretalk.2|My pleasure, sir.
dlga_lord_start:lord_mission_told_deliver_cattle_to_army|The army's supplies are dwindling too quickly, {playername}. I need you to bring me a herd of {reg3} nerfs so I can keep the troops fed. I care very little about where you get them, just bring them to me as soon as you can.
dlga_lord_mission_told_deliver_cattle_to_army:lord_mission_told_deliver_cattle_to_army_accepted|Very well, I can find you some nerfs.
dlga_lord_mission_told_deliver_cattle_to_army:lord_mission_told_deliver_cattle_to_army_rejected|Sorry, sir, I have other plans.
dlga_lord_mission_told_deliver_cattle_to_army_accepted:close_window|Excellent! You know what to do, {playername}, now get to it. I need those nerfs sooner rather than later.
dlga_lord_mission_told_deliver_cattle_to_army_rejected:close_window|That . . . is unfortunate, {playername}. I shall have to find someone else who's up to the task. Please go now, I've work to do.
dlga_lord_start:lord_report_to_army_asked|Ah, you have arrived at last, {playername}. We've been expecting you. I hope you have brought with you troops of sufficient number and experience.
dlga_lord_report_to_army_asked:lord_report_to_army_completed|I have a company of good, hardened soldiers with me. We are ready to join you.
dlga_lord_report_to_army_asked:lord_report_to_army_continue|I don't have the sufficient number of troops yet. I will need some more time.
dlga_lord_report_to_army_completed:close_window|Excellent. I will send the word when I have a task for you. For the moment, just follow us and stay close. We'll be moving soon.
dlga_lord_report_to_army_continue:close_window|Then you'd better hurry. We'll be moving out soon against the enemy and I need every able hand we can muster.
dlga_lord_start:lord_mission_told_scout_waypoints|{playername}, I need a volunteer to scout the area. We're sorely lacking on information, and I simply must have a better picture of the situation before we can proceed. I want you to go to {s13}, {s14} and {s15} and report back whatever you find.
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_accepted|You've found your volunteer, sir.
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_rejected|I fear I must decline.
dlga_lord_mission_told_scout_waypoints_accepted:close_window|Good {man/lass}! Simply pass near {s13}, {s14} and {s15} and check out what's there. Make a note of anything you find and return to me as soon as possible.
dlga_lord_mission_told_scout_waypoints_rejected:lord_pretalk|Hm. I'm disappointed, {playername}. Very disappointed. We'll talk later, I need to go and find somebody to scout for us.
dlga_lord_generic_mission_thank:lord_generic_mission_completed|You have been most helpful, {playername}. My thanks.
dlga_lord_generic_mission_completed:lord_pretalk|It was an honour to serve.
dlga_lord_start:lord_pay_debt_2|I think you owe me {reg1} credits, {playername}. Do you intend to pay your debt anytime soon?
dlga_lord_pay_debt_2:lord_pay_debt_3_1|That is why I came, {s65}. Here it is, every denar I owe you.
dlga_lord_pay_debt_2:lord_pay_debt_3_2|Alas, I don't have sufficient funds, {s65}. But I'll pay you soon enough.
dlga_lord_pay_debt_3_1:lord_pretalk|Ah, excellent. You are a {man/woman} of honour, {playername}. I am satisfied, yopur debt to me has been paid in full.
dlga_lord_pay_debt_3_2:lord_pretalk|Well, don't keep me waiting much longer.
dlga_lord_start:lord_buy_prisoner|I heard that you have captured our enemy {s3} and they are with you at the moment. I can pay you {reg6} credits for them right now. You can wait for their family to pay the ransom of course, but there is no telling how long that will take, eh?
dlga_lord_buy_prisoner:lord_buy_prisoner_accept|I accept your offer. I'll leave {s3} to you for {reg6} credits.
dlga_lord_buy_prisoner:lord_buy_prisoner_deny|I fear I can't accept your offer.
dlga_lord_buy_prisoner_accept:lord_pretalk|Excellent! Here's your {reg6} credits. I'll send some men to take them to our prison with due haste.
dlga_lord_buy_prisoner_deny:lord_pretalk|Mmm. As you wish, {playername}, but you'll not get a better offer. Take it from me.
dlga_lord_start:lord_talk|What is it?
dlga_lord_pretalk:lord_talk|Anything else?
dlga_hero_pretalk:lord_talk|Anything else?
dlga_lord_talk:lord_lend_companion_end|I should like {s14} returned to me, {s65}, if you no longer require {reg3?her:his} services.
dlga_lord_lend_companion_end:lord_pretalk|You've too many men in your company already, {playername}. You could not lead any more at the moment.
dlga_lord_lend_companion_end:lord_pretalk.1|Certainly, {playername}. {reg3?She:He} is a bright {reg3?girl:fellow}, you're a lucky {man/woman} to have such worthy companions.
dlga_lord_talk:lord_ask_to_collect_debt|I've come to collect the debt you owe to {s1}.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Oh. Well, {s1} did lend me some silver a ways back, but I've done them many favours in the past and I consider that money as my due payment.
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1} considers it a debt. They asked me to speak to you on their behalf.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|Then I will not press the matter any further.
dlga_convince_accept:close_window|My debt to {s8} has long been overdue and was a source of great discomfort to me. Thank you for accepting to take the money to them. Please give them these {reg10} credits and thank them on my behalf.
dlga_lord_talk:lord_ask_to_make_peace|Please, {s64}, it's time to end this war between {s12} and {s13}.
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|Eh? I'm not sure I heard you right, {playername}. War is not easily forgotten by either side of the conflict, and I have a very long memory. Why should I take any interest in brokering peace with those dogs?
dlga_lord_ask_to_make_peace_2:convince_begin|Perhaps I can talk you into it...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Never mind, peace can wait for now.
dlga_convince_accept:close_window.1|You... have convinced me, {playername}. Very well then, you've my blessing to bring a peace offer to {s14}. I cannot guarantee they will accept it, but on the off-chance they do, I will stand by it.
dlga_lord_talk:lord_challenge_duel_for_lady|I want you to take back your accusations against {s1}.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|What accusations? Everyone knows that she beds her stable boys and anyone else she can lay hands on while her husband is away. I merely repeat the words of many.
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel_for_lady_3|You will recant these lies, sirrah, or prove them against my sword!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|If you say so...
dlga_lord_challenge_duel_for_lady_3:close_window|You are challenging me to a duel? How droll! As you wish, {playername}, it will be good sport to bash your head in.
dlga_lord_talk:lord_message_delivered|I bring a message from {s9}.
dlga_lord_message_delivered:lord_pretalk|Oh? Let me see that... Well well well! It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, and give my regards to {s9} when you see them again.
dlga_lord_talk:lord_message_delivered_enemy|I bring a message from {s9}.
dlga_lord_message_delivered_enemy:close_window|Oh? Let me see that... Hmmm. It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, with my thanks.
dlga_lord_talk:lord_deliver_message_prisoner|I bring a message from {s11}.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Can it be true? Oh, thank you kindly, {playername}! You have brought hope and some small ray of light to these bleak walls. Perhaps one day I will be able to repay you.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a| 'Twas the least I could do, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|You've no idea how grateful I am, {playername}. A thousand thanks and more.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Worry not, {s65}. You'll have ample opportunity once you are free again.
dlga_lord_deliver_message_prisoner_2b:close_window|Hah, of course, {playername}. My eternal thanks go with you.
dlga_lord_talk:lord_rescue_by_replace_offer|Fear not, I am here to rescue you.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|By God, are you serious? What is your plan?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|A simple ruse, {s65}. If we exchange garments, I shall take your place here in prison, while you make your escape disguised as myself. I paid the guards a handsome bribe, with which I am sure they have already purchased half the wine stocks of the nearest cantina. With some luck they'll soon get so drunk they'd have trouble recognising their own mothers, let alone telling one of us from the other. At least not until you are safely away.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Hmm, it might just work... But what of you, my {friend/lady}? The guards won't take kindly to this trickery. You may end up spending some time in this cell yourself.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Not to worry, {s65}. The place is already starting to grow on me.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|I shall be fine as long there is an ample reward waiting at the end.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|You are a brave soul indeed. I won't forget this.
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Of course, my {friend/lady}, of course! Come to me when you have regained your freedom, and perhaps I shall be able to repay the debt I owe you.
dlga_lord_rescue_by_replace_offer_6:close_window|Quickly, {s65}, let us change garments. It is past time you were away from here.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, I wish to restore my old oath to {s4}.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|That is too great a matter for me to decide, {playername}. You should seek out {s4}. Such clemency is his alone to grant or deny.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|As you like, {s65}. I will accept your judgment.
dlga_lord_ask_pardon_terms:lord_pretalk.1|A shame, {s65}. A shame.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Very well, go and die without me.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Aye, I am ready.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|On second thought, no. I don't wish to be in your service again.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Aye, I agree to those terms.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|That is too high a price, {s65}. I must decline.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Excellent. Though you strayed from us, {playername}, it gladdens all our hearts that you have found your way back to the right path. I hereby restore your homage to me. Rise once more as an honoured {man/warrior} in my service.
dlga_lord_ask_pardon_terms_rejected:close_window|Then get out of my sight, traitor! Begone with you, and do not come back!
dlga_lord_talk:lord_ask_pardon|I wish to make peace with {s4}.
dlga_lord_ask_pardon:lord_pretalk|Do you indeed, {playername}? Then go and trip on your sword. Give us all peace.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, you are a {lord/lady} without a master, holding lands in your name, without having allegience to any kingdom. As long as that continues, no ruler in this Galaxy would accept a lasting peace with you.
dlga_lord_ask_pardon:lord_ask_pardon_2|Hmm. I could use my considerable influence to arrange a pardon for you, {playername}, but there are some who see you as an enemy and will not be satisfied unless you pay tribute. All in all, you'd need to bring no less than {reg16} credits to make any friends in {s4}.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|I have the money here. {reg16} credits.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|I fear I cannot pay that much.
dlga_lord_ask_pardon_tribue_accept:close_window|Excellent, {playername}. I'll use the coin to smooth the feathers of those that can oppose your pardon, and I'm sure that word will soon spread that you are no longer an enemy of {s4}.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|Then there's nothing I can do for you, {playername}. No silver, no pardon.
dlga_lord_talk:lord_active_mission_1|About the task you gave me...
dlga_lord_talk:lord_pay_mercenary|{s67}, I humbly request the weekly payment for my service.
dlga_lord_pay_mercenary:lord_pay_mercenary_2|Hmm, let me see... According to my ledgers, we owe you {reg8} credits for your work. Here you are.
dlga_lord_pay_mercenary_2:lord_pretalk|Thank you, sir.
dlga_lord_talk:lord_request_mission_ask|Do you have any tasks for me?
dlga_lord_talk:lord_ask_enter_service|{s66}, I have come to offer you my sword in vassalage!
dlga_lord_talk:lord_ask_enter_service.1|{s66}, I wish to become your sworn {man/woman} and fight for your honour.
dlga_lord_talk:lord_ask_leave_service|{s66}, I wish to be released from my oath to you.
dlga_lord_talk:lord_talk_preoffer|I have an offer for you.
dlga_lord_talk:lord_give_troops|I want to give some troops to you.
dlga_lord_give_troops:lord_pretalk|Well, I could use some good soldiers. Thank you.
dlga_lord_talk:lord_give_order_ask|I have a new task for you.
dlga_lord_give_order_ask:lord_give_order|Yes?
dlga_lord_give_order:lord_give_order_answer|Follow me.
dlga_lord_give_order:lord_give_order_details_ask|Go to...
dlga_lord_give_order:lord_give_order_details_ask.1|Raid around the planet of...
dlga_lord_give_order:lord_give_order_details_ask.2|Patrol around...
dlga_lord_give_order:lord_give_order_stop|I won't need you for some time. You are free to do as you like.
dlga_lord_give_order:lord_pretalk|Never mind.
dlga_lord_give_order_details_ask:lord_give_order_details|Where?
dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Never mind.
dlga_lord_give_order_stop:lord_pretalk|All right. I will do that.
dlga_lord_give_order_answer:lord_pretalk|I am sorry. I need to attend my own business at the moment.
dlga_lord_give_order_answer:lord_give_order_answer_2|.
dlga_lord_give_order_answer_2:close_window|I will do that.
dlga_lord_give_order_answer_2:lord_pretalk|I am sorry, it is not possible for me to do that.
dlga_lord_talk:lord_give_order_call_to_arms_verify|I want to start a new campaign. Let us assemble the army here.
dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|You wish to summon all lords for a new campaign?
dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Yes. We must gather all our forces before we march on the enemy.
dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|On second thought, it won't be necessary to summon everyone.
dlga_lord_give_order_call_to_arms:lord_pretalk|All right then. I will send messengers and tell everyone to come here.
dlga_lord_talk:lord_give_order_disband_army_verify|I want to end the campaign and let everyone return home.
dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|You want to end the current campaign and release all lords from duty?
dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Yes. We no longer need all our forces here.
dlga_lord_give_order_disband_army_2:lord_pretalk|On second thought, it will be better to stay together for now.
dlga_lord_give_order_disband_army:lord_pretalk|All right. I will let everyone know that they are released from duty.
dlga_lord_talk:lord_talk_ask_something|I wish to ask you something.
dlga_lord_talk_ask_something:lord_talk_ask_something_2|Aye? What is it?
dlga_lord_talk_ask_something_2:lord_talk_ask_location|I want to know the location of someone.
dlga_lord_talk_ask_something_2:lord_tell_objective|What are you and your men doing?
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|How goes the war?
dlga_lord_talk_ask_something_2:lord_blackjack_1|Do you want to play Pazaak?
dlga_lord_blackjack_1:lord_blackjack_2|Sure. Are you ready to play or should I review the rules?
dlga_lord_blackjack_2:lord_blackjack_3|Start playing.
dlga_lord_blackjack_3:close_window|Ok.^^You may need to move your character to one side so the 'Talk' dialog does not appear while playing the game.
dlga_lord_blackjack_3:lord_blackjack_1|You don't have enough money.
dlga_lord_blackjack_2:lord_blackjack_4|Discuss the rules.
dlga_lord_blackjack_4:lord_blackjack_1|Pazaak is played with the same rules as Blackjack. The player closest to 21, without going over, wins.
dlga_lord_blackjack_2:lord_talk_ask_something|Never mind.
dlga_lord_talk_ask_something_2:lord_pretalk|Never mind.
dlga_lord_talk_ask_location:lord_talk_ask_location_2|Very well, I may or may not have an answer for you. About whom do you wish to hear?
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_2:lord_pretalk|Never mind.
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Tell me more about the war with {s1}.
dlga_lord_talk_ask_about_war_2:lord_pretalk|That's all I wanted to know. Thank you.
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|We have {reg5?{reg5}:no} {reg3?armies:army} and they have {reg6?{reg6}:none}. Overall, {s9}.
dlga_lord_talk:party_encounter_lord_hostile_ultimatum_surrender|I say this only once, {s4}! Surrender or die!
dlga_party_encounter_lord_hostile_ultimatum_surrender:close_window|{s43}
dlga_lord_talk:lord_predemand|I'm here to deliver you my demands!
dlga_lord_predemand:lord_demand|Eh? What do you want?
dlga_lord_demand:lord_ultimatum_surrender|I offer you one chance to surrender or die.
dlga_lord_ultimatum_surrender:lord_attack_verify|{s43}
dlga_lord_attack_verify:lord_attack_verify_cancel|Forgive me sir. I don't know what I was thinking.
dlga_lord_attack_verify_cancel:close_window|Be gone, then.
dlga_lord_attack_verify:lord_attack_verify_commit|That is none of your business. Prepare to fight!
dlga_lord_ultimatum_surrender:lord_attack_verify_b|{s43}
dlga_lord_attack_verify_b:lord_attack_verify_cancel|Forgive me sir. I don't know what I was thinking.
dlga_lord_attack_verify_b:lord_attack_verify_commit|I stand my ground. Prepare to fight!
dlga_lord_attack_verify_commit:close_window|{s43}
dlga_lord_demand:lord_pretalk|Forgive me. It's nothing.
dlga_lord_talk:liege_defends_claim_1|I have met in my travels one who calls {reg3?herself:himself} {s45}...
dlga_liege_defends_claim_1:liege_defends_claim_2|Oh really? It is not everyone who dares mention that name in my presence. I am not sure whether to reward your bravery, or punish you for your impudence.
dlga_liege_defends_claim_2:liege_defends_claim_3|Very well. I will indulge your curiosity. But listen closely, because I do not wish to speak of this matter again.
dlga_liege_defends_claim_3:liege_defends_claim_4|{s48}
dlga_liege_defends_claim_4:lord_talk|{s48}
dlga_lord_talk:lord_join_rebellion_suggest|{s12} is the rightful ruler of {s14}. Join our cause against the usurper, {s15}!
dlga_lord_talk:lord_join_rebellion_suggest_cheat|CHEAT: Join our cause by force.
dlga_party_encounter_lord_hostile_attacker_2:lord_join_rebellion_suggest_cheat|CHEAT: Join our cause by force.
dlga_lord_join_rebellion_suggest_cheat:lord_join_rebellion_ask_for_order|Cheat:Allright.
dlga_party_encounter_lord_hostile_attacker_2:lord_join_rebellion_suggest|{s12} is your rightful ruler. Join our cause against the usurper, {s15}!
dlga_lord_join_rebellion_suggest:party_encounter_lord_hostile_attacker_2|I have no time to bandy words with the likes of you. Now defend yourself!
dlga_lord_join_rebellion_suggest:lord_start|I have no time to bandy words with the likes of you.
dlga_lord_join_rebellion_suggest:party_encounter_lord_hostile_attacker_2.1|{s43}
dlga_lord_join_rebellion_suggest:lord_start.1|{s43}
dlga_lord_join_rebellion_suggest:lord_join_rebellion_suggest_1b|{s43}
dlga_lord_join_rebellion_suggest_1b:lord_join_rebellion_suggest_2|{s43}
dlga_lord_join_rebellion_suggest_2:lord_join_rebellion_suggest_2|{s47}
dlga_lord_join_rebellion_suggest_2:lord_join_rebellion_suggest_2.1|{s43}
dlga_lord_join_rebellion_suggest_2:lord_join_rebellion_suggest_3|So tell me. Why should I support {s45}?
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4|Legality -- {s45} has the better claim to the throne
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.1|Justice -- {s45} will treat {reg39?her:his} subjects better than {s46}
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.2|Expediency -- {s45} will win, and the sooner  {reg39?she:he} wins, the sooner this war will end.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.3|Self-interest -- {s45} will reward  {reg39?her:his} followers well.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.4|None of the usual reasons. My thinking is a little different.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.5|There is more than one reason. I will let you make up your own mind.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_5|If that is your reasoning, perhaps you should remain loyal to {s46}.
dlga_lord_join_rebellion_suggest_4:lord_join_rebellion_suggest_4|Hmm. Do you perhaps tell each lord something different, depending on what you think they most wants to hear?
dlga_lord_join_rebellion_suggest_4:lord_join_rebellion_suggest_5|Very well. {s51}{s52}{s53}{s54}{s55}
dlga_lord_join_rebellion_suggest_5:lord_join_rebellion_ask_for_order|{s43}
dlga_lord_join_rebellion_suggest_5:party_encounter_lord_hostile_attacker_2|{s43}
dlga_lord_join_rebellion_suggest_5:lord_talk|{s43}
dlga_lord_join_rebellion_ask_for_order:lord_give_order|All right. So, what's the plan? What do you want me to do?
dlga_lord_talk:lord_suggest_action_ask|CHEAT:I want to suggest a course of action.
dlga_lord_tell_objective:lord_pretalk|What am I doing? What does it look like I'm doing?! I'm a prisoner here!
dlga_lord_tell_objective:lord_pretalk.1|I am not commanding any men at the moment.
dlga_lord_tell_objective:lord_pretalk.2|We are resting at {s1}.
dlga_lord_tell_objective:lord_pretalk.3|We are travelling to {s1}.
dlga_lord_tell_objective:lord_pretalk.4|We are recruiting new soldiers from {s1}.
dlga_lord_tell_objective:lord_pretalk.5|We are scouting for the enemy around {s1}.
dlga_lord_tell_objective:lord_pretalk.6|We are laying waste to the planet of {s1}.
dlga_lord_tell_objective:lord_pretalk.7|We are retreating to {s1}.
dlga_lord_tell_objective:lord_pretalk.8|We are besieging {s1}.
dlga_lord_tell_objective:lord_pretalk.9|We are fighting against {s1}.
dlga_lord_tell_objective:lord_pretalk.10|We are accompanying {s1}.
dlga_lord_tell_objective:lord_pretalk.11|We are reconsidering our next objective.
dlga_lord_tell_objective:lord_pretalk.12|I don't know: {reg1} {s1}
dlga_lord_talk:lord_ask_follow|Will you follow me? I have a plan.
dlga_lord_ask_follow:close_window|I enjoy your company, {playername}, but there are other things I must attend to. Perhaps in a few days I can ride with you again.
dlga_lord_ask_follow:close_window.1|That would hardly be proper, {playername}. Why don't you follow me instead?
dlga_lord_ask_follow:close_window.2|{s43}
dlga_lord_ask_follow:close_window.3|Lead the way, {playername}! Let us bring death and defeat to all our enemies.
dlga_lord_talk_preoffer:lord_talk_offer|Yes?
dlga_lord_talk_offer:knight_offer_join|I wish to ransom one of your prisoners.
dlga_lord_talk_offer:lord_pretalk|Never mind.
dlga_knight_offer_join:hero_pretalk|I fear I cannot join you at the moment, {playername}, I've important business to attend to and it cannot wait.
dlga_knight_offer_join:hero_pretalk.1|You forget your place, {sir/madam}. I do not take orders from the likes of you.
dlga_knight_offer_join:knight_offer_join_2|I would be glad to fight at your side, my friend, but there is a problem... The thing is, I've found myself in a bit of debt that I must repay very soon. {reg6} credits altogether, and I am honour-bound to return every coin. Unless you've got {reg6} credits with you that you can spare, I've to keep my mind on getting this weight off my neck.
dlga_knight_offer_join:close_window|Join you? I think not.
dlga_knight_offer_join:knight_offer_join_2.1|Aye, my friend, I'll be happy to join you.
dlga_knight_offer_join_2:knight_offer_join_accept|Here, take it, all {reg6} credits you need. 'Tis only money.
dlga_knight_offer_join_2:knight_offer_join_accept.1|Then let us ride together, my friend.
dlga_knight_offer_join_2:close_window|That's good to know. I will think on it.
dlga_knight_offer_join_2:hero_pretalk|That's good to know. I will think on it.
dlga_knight_offer_join_accept:knight_offer_join_accept_party|I've some trusted men in my band who could be of use to you. What do you wish to do with them?
dlga_knight_offer_join_accept:close_window|Ah, certainly, it might be fun!
dlga_knight_offer_join_accept_party:knight_join_party_disband|You may disband your men. I've no need for other troops.
dlga_knight_offer_join_accept_party:knight_join_party_join|Your men may join as well. We need every soldier we can muster.
dlga_knight_offer_join_accept_party:knight_join_party_lead_out|Lead your men off the planet. I shall catch up with you in orbit.
dlga_knight_offer_join_accept_party:knight_join_party_lead_out.1|Keep doing what you were doing. I'll catch up with you later.
dlga_knight_join_party_disband:close_window|Ah . . . Very well, {playername}. Much as I dislike losing good men, the decision is yours. I'll disband my troops and join you.
dlga_knight_join_party_join:close_window|Excellent. My lads and I will ride with you.
dlga_knight_join_party_lead_out:close_window|Very well then. I shall maintain a patrol of this area. Return if you have further orders for me.
dlga_lord_enter_service_reject:close_window|What pigswill! And to think I would offer you a place among my nobles. Begone, beggar, before I lose my temper!
dlga_lord_ask_enter_service:lord_give_oath_under_oath_already|You are already oath-bound to serve {s5}, are you not?
dlga_lord_give_oath_under_oath_already:lord_pretalk|Indeed I am, {s65}. Forgive my rambling.
dlga_lord_ask_enter_service:lord_pretalk|I accept oaths only from those I can trust to keep them, {playername}.
dlga_lord_ask_enter_service:lord_give_oath_1|You are known as a brave {man-at-arms/warrior} and a fine leader of men, {playername}. I shall be pleased to accept your sword into my service and bestow vassalage upon you, if you are ready to swear homage to me.
dlga_lord_ask_enter_service:lord_pretalk.1|You've yet to show yourself as a competent commander, {playername}. Take your sword to my enemies and prove to me that you are worthy of becoming my vassal. Then we may speak more of this.
dlga_lord_give_oath_1:lord_give_oath_2|I am ready, {s65}.
dlga_lord_give_oath_1:lord_give_oath_give_up|Forgive me, {s65}, I must give the matter more thought first...
dlga_lord_give_oath_give_up:close_window|What are you playing at, {playername}? Go and make up your mind, and stop wasting my time.
