itm_horse_meat|At eti
itm_lightsaber_blue_1h|Tek El Lazer Kılıcı
itm_lightsaber_orange_1h|Tek El Lazer Kılıcı
itm_lightsaber_purple_1h|Tek El Lazer Kılıcı
itm_lightsaber_yellow_1h|Tek El Lazer Kılıcı
itm_lightsaber_red_1h|Tek El Lazer Kılıcı
itm_lightsaber_green_pike|Lazer Kılıcı Mızrağı
itm_lightsaber_blue_pike|Lazer Kılıcı Mızrağı
itm_lightsaber_orange_pike|Lazer Kılıcı Mızrağı
itm_lightsaber_purple_pike|Lazer Kılıcı Mızrağı
itm_lightsaber_yellow_pike|Lazer Kılıcı Mızrağı
itm_lightsaber_red_pike|Lazer Kılıcı Mızrağı
itm_darth_vader_lightsaber|Darth Vader'ın Lazer Kılıcı
itm_obi_wan_lightsaber|Obi-Wan Kenobi'nin Lazer Kılıcı
itm_luke_skywalker_lightsaber|Luke Skywalker'ın Lazer Kılıcı
itm_anakin_skywalker_lightsaber|Anakin Skywalker's Lazer Kılıcı
itm_lightsaber_red_multikill|Çoklu Vuruş Lazer Kılıcı(Sitede)
itm_melee_punch| 
itm_durasteel_staff|Durasteel Sopası
itm_electro_staff_medium|Elektrosopa
itm_electro_staff_long|Elektro Sopa
itm_gamorrean_axe_1h|Gamorrean Tek El Baltası
itm_gamorrean_axe_2h|Gamorrean Çift El Baltası
itm_vibro_axe_medium_1h|Tek El Vibro Baltası
itm_vibro_axe_medium_2h|Çift El Vibro Baltası
itm_vibro_axe_long_1h|Tek El Vibro Baltası
itm_vibro_axe_long_2h|BD-1 Kesici Vibro-Baltası
itm_tusken_gaffi_staff|Gaffi Sopası
itm_tusken_gaffi_stick|Gaffi Çubuğu
itm_durasteel_mace|Durasteel Topuz
itm_baton|Baton
itm_trandoshan_blade|Trandoshan Kılıcı
itm_durasteel_bat|Durasteel Sopası
itm_force_pike|Mızrak Büyüsü
itm_geonosian_static_pike|Geonosian Statik Mızrağı
itm_pipe1|Boru
itm_pipe2|Boru
itm_ryyk_blade|Ryyk Kılıcı
itm_ryyk_kerarthorr|Ryyk Kerarthorr Kılıcı
itm_ryyk_blade_chieftain|Chieftain Ryyk Kılıcı
itm_sith_sword|Sith Kılıcı
itm_combat_knife|Savaş Bıçağı
itm_twilek_dagger|Twilek Bıçağı
itm_vibro_knuckler|Vibro Yüksüğü
itm_vibro_blade1|Vibro Bıçağı
itm_vibro_blade2|Vibro Bıçağı
itm_vibro_blade3|Vibro Bıçağı
itm_vibro_blade4|Vibro Bıçağı
itm_vibro_sword1b|Vibro Kılıcı
itm_vibro_sword2b|Çift El Vibro Kılıcı
itm_vibro_sword3_gold|Vibro Kılıcı
itm_vibro_sword3_blue|Vibro Kılıcı
itm_vibro_sword3_red|Vibro Kılıcı
itm_tutorial_lightsaber|Işın Kılıcı
itm_practice_vibro_axe_medium|Gamorrean Vibro Baltası
itm_practice_vibro_axe_long|BD-1 Kesici Vibro-Baltası
itm_practice_vibro_axe_long_no_attack|BD-1 Kesici Vibro Baltası
itm_practice_vibro_blade|Vibro Bıçağı
itm_practice_vibro_sword3a|Vibro Kılıcı
itm_practice_vibro_sword2b|Çift El Vibro Kılıcı
itm_practice_vibro_sword1b|Vibro Kılıcı
itm_quick_battle_armor|Zırh
itm_transparent_helmet_armor|Şeffaf Kask ve Vücut Zırhı
itm_twilek_female_helmet_armor|Twilek Kadın Kaskı ve Vücut Zırhı
itm_twilek_male_head_bib|Bib Fortuna Kafası
itm_weequay_head_helmet_a|Weequay Kafası
itm_weequay_head_helmet_b|Weequay Kafası
itm_klatooinian_head_helmet_a|Klatoonian Kafası
itm_nikto_head_helmet_a|Nikto Kafası
itm_nikto_head_helmet_b|Nikto Kafası
itm_nikto_head_helmet_c|Nikto Kafası
itm_tarkin_head|Grand Moff Tarkin Kafası
itm_ben_head|Ben Kenobi Kafası
itm_leia_head|Leia Organa Kafası
itm_rancor_body_a|Rancor Vücut
itm_rancor_body_b|Rancor Vücut
itm_rancor_body_c|Rancor Vücudu
itm_rancor_attack| 
itm_rancor_keeper_armor|Rancor Koruyucu Zırhı
itm_yoda_armor|Yoda Zırh ve Sandalyesi
itm_yoda_lightsaber|Yoda Işın Kılıcı
itm_yoda_speeder|Yoda Şeffaf Hız Motoru
itm_jabba_armor|Jabba Zırh ve Sandalyesi
itm_jabba_attack|Jabba No Attack
itm_jabba_speeder|Jabba Şeffat Hız Motoru
itm_transparent_head|Şeffat Kafa
itm_transparent_body|Şeffat Vücut
itm_transparent_hands|Şeffat Eller
itm_transparent_feet|Şeffatt Ayaklar
itm_darth_vader_helmet|Darth Vader Kaskı
itm_darth_vader_armor|Darth Vader Zırhı
itm_darth_vader_feet|Darth Vader Ayağı
itm_princess_leia_outfit|Princess Leia Kıyafeti
itm_princess_leia_blaster|Princess Leia DDC Koruyucusu
itm_han_solo_outfit|Han Solo Kıyafeti
itm_han_solo_blaster|Han Solo DL-44
itm_luke_skywalker_outfit|Luke'nin Kıyafeti
itm_chewbacca_bowcaster|Chewbacca'nın Bowcasterı
itm_chewbacca_ryyk_blade|Chewbacca'nın Ryyk Kılıcı
itm_boba_fett_armor|Boba Fett'in Zırhı
itm_boba_fett_helmet|Boba Fett'in Kaskı
itm_boba_fett_boots|Boba Fett'in Botları
itm_boba_fett_blaster|Boba Fett EE-3 
itm_joruus_lightsaber|Cboathın Işın Kılıcı
itm_dengar_armor|Dengarın Zırhı
itm_dengar_helmet|Dengarın Baş Sarması
itm_dengar_boots|Dengarın Botları
itm_dengar_gloves|Dengarın Eldivenleri
itm_weequay_vibro_axe|Weequayın Vibro Baltası
itm_force_throw_lightsaber_green|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_blue|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_orange|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_purple|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_yellow|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_red|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_green_merch|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_blue_merch|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_orange_merch|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_purple_merch|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_yellow_merch|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_red_merch|Fırlatılan Işın Kılıcı
itm_force_throw_lightsaber_green_pike|Fırlatılan Işın Kılıcı Mızrağı
itm_force_throw_lightsaber_blue_pike|Fırlatılan Işın Kılıcı Mızrağı
itm_force_throw_lightsaber_orange_pike|Fırlatılan Işın Kılıcı Mızrağı
itm_force_throw_lightsaber_purple_pike|Fırlatılan Işın Kılıcı Mızrağı
itm_force_throw_lightsaber_yellow_pike|Fırlatılan Işın Kılıcı Mızrağı
itm_force_throw_lightsaber_red_pike|Fırlatılan Işın Kılıcı Mızrağı
itm_force_throw_lightsaber_red_double|Fırlatılan Çift-Taraflı Işın Kılıcı
itm_twilek_dagger_throwing|Twilek Fırlatma Bıçakları
itm_discblade|Disk Kılıcı
itm_thermal_detonator1|Termal Patlayıcı
itm_thermal_detonator2|Termal Patlayıcı
itm_thermal_detonator3|Termal Patlayıcı
itm_energy_shield_red_small|Küçük Enerji Kalkanı
itm_energy_shield_blue_small|Küçük Enerji Kalkanı
itm_energy_shield_green_small|Küçük Enerji Kalkanı
itm_energy_shield_yellow_small|Küçük Enerji Kalkanı
itm_energy_shield_red_medium|Orta Enerji Kalkanı
itm_energy_shield_blue_medium|Orta Enerji Kalkanı
itm_energy_shield_green_medium|Orta Enerji Kalkanı
itm_energy_shield_yellow_medium|Orta Enerji Kalkanı
itm_energy_shield_red_large|Büyük Enerji Kalkanı
itm_energy_shield_blue_large|Büyük Enerji Kalkanı
itm_energy_shield_green_large|Büyük Enerji Kalkanı
itm_energy_shield_yellow_large|Büyük Enerji Kalkanı
itm_energy_shield_oval|Oval Enerji Kalkanı
itm_energy_shield_circle|Dairesel Enerji Kalkanı
itm_durasteel_shield_small|Küçük Durasteel Kalkanı
itm_durasteel_shield_small_2|Küçük Durasteel Kalkanı
itm_durasteel_shield_large|Büyük Durasteel Kalkanı
itm_wookiee_shield_small|Küçük Wookiee Kalkanı
itm_wookiee_shield_large|Büyük Wookiee Kalkanı
itm_westar_shield|Westar-34 Kalkanı
itm_ryyk_kerarthorr_shield|Ryyk Kerarthorr Kalkanı
itm_ryyk_blade_shield|Ryyk Kılıç Kalkanı
itm_lightsaber_block_blue|Işın Kılıcı Kalkan
itm_lightsaber_block_green|Işın Kılıcı Kalkan
itm_lightsaber_block_orange|Işın Kılıcı Kalkan
itm_lightsaber_block_purple|Işın Kılıcı Kalkan
itm_lightsaber_block_red|Işın Kılıcı Kalkan
itm_lightsaber_block_yellow|Işın Kılıcı Kalkan
itm_force_block|Bloklama Büyüsü
itm_force_shield|Kalkan Büyüsü
itm_force_protect|Koruma Büyüsü
itm_hero_shield|Şeffaf Kahraman Kalkanı
itm_practice_energy_shield|Pratik Enerji Kalkanı
itm_tutorial_energy_shield|Eğitim Enerji Kalkanı
itm_force_throw_lightsaber_t|Işın Kılıcı Atma Büyüsü
itm_force_throw_lightsaber_tl|Işın Kılıcı Atma Büyüsü
itm_force_lightning_ammo|Elektrik Büyüsü
itm_force_push_ammo|İtme Büyüsü
itm_laser_bolts_green_pistol|Plazma Gaz Kartuşu
itm_laser_bolts_red_pistol|Plazma Gaz Kartuşu
itm_laser_bolts_orange_pistol|Plazma Gaz Kartuşu
itm_laser_bolts_yellow_pistol|Plazma Gaz Kartuşu
itm_laser_bolts_blue_pistol|Plazma Gaz Kartuşu
itm_stun_beam_pistol|Bayıltıcı Işın Kartuşu
itm_ion_beam_pistol|İyon Işın Kartuşu
itm_sonic_beam_pistol|Sonik İyon Kartuşu
itm_ammo_belt_pistol|Cephanelik Kemer
itm_disruptor_ammo|Bozucu Tabanca Mermisi
itm_laser_bolts_green_rifle|Plazma Gaz Kartuşu
itm_laser_bolts_red_rifle|Plazma Gaz Kartuşu
itm_laser_bolts_orange_rifle|Plazma Gaz Kartuşu
itm_laser_bolts_yellow_rifle|Plazma Gaz Kartuşu
itm_laser_bolts_blue_rifle|Plazma Gaz Kartuşu
itm_stun_beam_rifle|Bayıltıcı Işın Kartuşu
itm_ion_beam_rifle|İyon Işın Kartuşu
itm_sonic_beam_rifle|Sonic Işın Kartuşları
itm_ammo_belt_rifle|Cephanelik Kemer
itm_disruptor_ammo_rifle|Bozucu Tüfek Mermisi
itm_laser_bolts_training_pistol|Laser Topları
itm_laser_bolts_training_rifle|Laser Topları
itm_force_power_ls_1|Üye Büyü Güçleri
itm_force_power_ls_2|Çırak Büyü Güçleri
itm_force_power_ls_3|Şovalye Büyü Güçleri
itm_force_power_ls_4|Usta Büyü Güçleri
itm_force_power_ds_1|Üye Büyü Güçleri
itm_force_power_ds_2|Çırak Büyü Güçleri
itm_force_power_ds_3|Şovalye Büyü Güçleri
itm_force_power_ds_4|Usta Büyü Güçleri
itm_force_jump|Zıplama Büyüsü
itm_a280|A-280
itm_a280_crouch|A-280
itm_a280_stun|Bayıltıcı A-280
itm_a295|A-295
itm_a295_crouch|A-295
itm_a295_stun|Bayıltıcı A-295
itm_mandalorian_heavy_blaster|Mandalor Ağır Lazer Silahı
itm_corellian_destroyer_blaster|Corellian Yokedici Lazer Silahı
itm_dlt19|DLT-19
itm_dlt19_scope|Nişangahlı DLT-19
itm_dlt20a|DLT-20A
itm_e17d|E-17D
itm_dc15a|DC-15A
itm_dc15a_hip|DC-15A
itm_dc15s|DC-15S
itm_trandoshan_acp_array_gun|Trandoshan ACP Silahı
itm_trandoshan_stun_gun|Trandoshan Bayıltıcı Silahı
itm_quicksnap_36t|Çok Hızlı 36T
itm_bothan_bola_carabine|Botan Bola Karabin
itm_ee3|EE-3
itm_ee3_stun|Bayıltıcı EE-3
itm_mg15|RT-97C
itm_e5|E-5
itm_e11|E11
itm_e11_hip|E11
itm_e11_stun|Bayıltıcı E-11
itm_wookiee_bowcaster|Bowcaster
itm_kashyyyk_long_gun|Kaski Uzun Silah
itm_tusken_rifle|Tusken Cycler Tüfeği
itm_geonosian_sonic_rifle|Geonosian Sonik Tüfeği
itm_t21|T-21
itm_senate_rifle|Güvenlik Tüfeği
itm_kisteer_1284|Kister 1284
itm_ion_blaster|İyon Lazer Silahı
itm_heavy_repeater|İmparatorluk Ağır Tekrarlayıcısı
itm_storm_rifle|Stormtrooper Tüfeği
itm_dh17|DH-17
itm_dh17_stun|Bayıltıcı DH-17
itm_se14r|SE-14R
itm_dl44a|DL-44
itm_dl44a_stun|Bayıltıcı DL-44
itm_dl44b|Modifiyeli DL-44
itm_q2|Q2
itm_q2_stun|Bayıltıcı Q2
itm_elg3a|ELG-3A
itm_elg3a_stun|Bayıltıcı ELG-3A
itm_scout_trooper_pistol|Gözcü Askeri Tabancası
itm_ddc_defender|DDC Koruyucusu
itm_geonosian_sonic_pistol|Geonosian Sonik Tabancası
itm_dl18|DL-18
itm_westar|Westar-34
itm_westar_stun|Bayıltıcı Westar-34
itm_ion_pistol|İyon Tabancası
itm_trandoshan_supressor|Trandoshan Susturucu
itm_wrist_blaster|Bileğe Montelenmiş Lazer Silahı
itm_practice_dl44|DL-44
itm_dl44a_training|DL-44
itm_dlt19_training|Nişangahlı DLT-19
itm_heavy_weapons_ammo|Ağır Silahların Cephanesi
itm_rocket_launcher|RDP-12 Roket Atar (Gelişmekte)
itm_flame_rifle|CR-24 Alev Tüfeği (Gelişmekte)
itm_concussion_rifle|W-90 Sarsıntı Tüfeği (Gelişmekte)
itm_force_kill|Öldürme Büyüsü
itm_force_choke|Boğma Büyüsü
itm_force_knockdown|Yere Serme Büyüsü
itm_force_stun|Bayıltma Büyüsü
itm_speeder|74-Z Hız Motoru
itm_speeder_rebel|74-Z Hız Motoru
itm_speeder_imperial|Z4-Z Hız Motoru
itm_speeder_hutt|Z4-Z Hız Motoru
itm_speeder_shadow|74-Z Gölge Hız Motoru
itm_speeder_fc20|FC-20 Hız Motoru
itm_horus_winged_cruiser|Horus Kanatlı Kruvazörü
itm_speeder_dagger|74-Z Bıçaklı Hız Motoru
itm_practice_speeder|74-Z Sivil Hız Motoru
itm_arena_speeder|74-Z Sivil Hız Motoru
