itm_horse_meat|Koňské maso
itm_practice_vibro_axe_long|BD-1 řezací vibro sekera
itm_practice_vibro_axe_long_no_attack|BD-1 řezací vibro sekera
itm_practice_vibro_blade|Vibro čepel
itm_practice_vibro_sword3a|Vibro meč
itm_practice_vibro_sword2b|Obouruční vibro meč
itm_practice_vibro_sword1b|vibro meč
itm_quick_battle_armor|Brnění
itm_transparent_helmet_armor|Průhledná helma s brněním
itm_twilek_female_helmet_armor|Twilekská dámská helma s brněním
itm_twilek_male_head_bib|Hlava Biba Fortuny
itm_weequay_head_helmet_a|Hlava Weequaya
itm_weequay_head_helmet_b|Hlava Weequaya
itm_klatooinian_head_helmet_a|Klatooinianská hlava
itm_nikto_head_helmet_a|Niktova hlava
itm_nikto_head_helmet_b|Niktova hlava
itm_nikto_head_helmet_c|Niktova hlava
itm_tarkin_head|Hlava Grand Moff Tarkina
itm_ben_head|Hlava Bena Kenobiho
itm_leia_head|Hlava Leiy Organy
itm_rancor_body_a|Rancorovo tělo
itm_rancor_body_b|Rancorovo tělo
itm_rancor_body_c|Rancorovo tělo
itm_rancor_attack| 
itm_rancor_keeper_armor|Brnění hlídače rancorů
itm_yoda_armor|Yodovo brnění s židlý
itm_yoda_lightsaber|Yodův světelný meč
itm_yoda_speeder|Yodův neviditelný kluzák
itm_jabba_armor|Jabbovo brnění s židlý
itm_jabba_attack|Jabbův žádný útok
itm_jabba_speeder|Jabbův neviditelný kluzák
itm_transparent_head|Neviditelná hlava
itm_transparent_body|Neviditelné tělo
itm_transparent_hands|Neviditelné ruce
itm_transparent_feet|Neviditelné chodidla
itm_darth_vader_helmet|Helma Darth Vadera
itm_darth_vader_armor|Brnění Darth Vadera
itm_darth_vader_feet|Nohy Darth Vadera
itm_princess_leia_outfit|Oblek Princezny Lei
itm_princess_leia_blaster|DDC obránce princezny Lei
itm_han_solo_outfit|Oblek Hana Sola
itm_han_solo_blaster|DL-44 Hana Sola
itm_luke_skywalker_outfit|Oblek Luka Skywalkera
itm_chewbacca_bowcaster|Chewbaccova kuše
itm_chewbacca_ryyk_blade|Chewbaccova Ryykská čepel
itm_boba_fett_armor|Brnění Boba Fetta
itm_boba_fett_helmet|Helma Boba Fetta
itm_boba_fett_boots|Boty Boba Fetty
itm_boba_fett_blaster|EE-3 Boba Fetty
itm_joruus_lightsaber|Cbaothův světelný meč
itm_dengar_armor|Dengarovo brnění
itm_dengar_helmet|Dengarův obal na hlavu
itm_dengar_boots|Dengarovy boty
itm_dengar_gloves|Dengarovy rukavice
itm_weequay_vibro_axe|Weequayova vibro sekera
itm_force_throw_lightsaber_green|Světelný meč -házecí
itm_force_throw_lightsaber_blue|Světelný meč -házecí
itm_force_throw_lightsaber_orange|Světelný meč -házecí
itm_force_throw_lightsaber_purple|Světelný meč -házecí
itm_force_throw_lightsaber_yellow|Světelný meč -házecí
itm_force_throw_lightsaber_red|Světelný meč -házecí
itm_force_throw_lightsaber_green_merch|Světelný meč -házecí
itm_force_throw_lightsaber_blue_merch|Světelný meč -házecí
itm_force_throw_lightsaber_orange_merch|Světelný meč -házecí
itm_force_throw_lightsaber_purple_merch|Světelný meč -házecí
itm_force_throw_lightsaber_yellow_merch|Světelný meč -házecí
itm_force_throw_lightsaber_red_merch|Světelný meč -házecí
itm_force_throw_lightsaber_green_pike|Světelné kopí -házecí
itm_force_throw_lightsaber_blue_pike|Světelné kopí -házecí
itm_force_throw_lightsaber_orange_pike|Světelné kopí -házecí
itm_force_throw_lightsaber_purple_pike|Světelné kopí -házecí
itm_force_throw_lightsaber_yellow_pike|Světelné kopí -házecí
itm_force_throw_lightsaber_red_pike|Světelné kopí -házecí
itm_force_throw_lightsaber_red_double|Obouruční světelný meč - házecí
itm_twilek_dagger_throwing|Twilekské házecí dýky
itm_discblade|Disková čepel 
itm_thermal_detonator1|Tepelný detonátor
itm_thermal_detonator2|Tepelný detonátor
itm_thermal_detonator3|Tepelný detonátor
itm_energy_shield_red_small|Malý energetický štít
itm_energy_shield_blue_small|Malý energetický štít
itm_energy_shield_green_small|Malý energetický štít
itm_energy_shield_yellow_small|Malý energetický štít
itm_energy_shield_red_medium|Střední energetický štít
itm_energy_shield_blue_medium|Střední energetický štít
itm_energy_shield_green_medium|Střední energetický štít
itm_energy_shield_yellow_medium|Střední energetický štít
itm_energy_shield_red_large|Velký enrgetický štít
itm_energy_shield_blue_large|Velký enrgetický štít
itm_energy_shield_green_large|Velký enrgetický štít
itm_energy_shield_yellow_large|Velký enrgetický štít
itm_energy_shield_oval|Kulatý energetický štít
itm_energy_shield_circle|Kruhový energetický štít
itm_durasteel_shield_small|Malý Durasteelový štít
itm_durasteel_shield_small_2|Malý Durasteelový štít
itm_durasteel_shield_large|Velký Durasteelový štít
itm_wookiee_shield_small|Malý Wookieeský štít
itm_wookiee_shield_large|Velký Wookieeský štít
itm_westar_shield|Štít Westar-34
itm_ryyk_kerarthorr_shield|Ryykský štít z kerarthoru
itm_ryyk_blade_shield|Ryykský čepelní štít
itm_lightsaber_block_blue|Světelný štít
itm_lightsaber_block_green|Světelný štít
itm_lightsaber_block_orange|Světelný štít
itm_lightsaber_block_purple|Světelný štít
itm_lightsaber_block_red|Světelný štít
itm_lightsaber_block_yellow|Světelný štít
itm_force_block|Síla - blok
itm_force_shield|Síla - štít
itm_force_protect|Síla - ochrana
itm_hero_shield|Neviditelný štít
itm_practice_energy_shield|Cvičný energetický štít
itm_tutorial_energy_shield|Energetický štít - tutoriál
itm_force_throw_lightsaber_t|Světelný meč -házecí
itm_force_throw_lightsaber_tl|Světelný meč -házecí
itm_force_lightning_ammo|Síla -blesky
itm_force_push_ammo|Síla - zatlačení
itm_laser_bolts_green_pistol|Plasmový zásobník
itm_laser_bolts_red_pistol|Plasmový zásobník
itm_laser_bolts_orange_pistol|Plasmový zásobník
itm_laser_bolts_yellow_pistol|Plasmový zásobník
itm_laser_bolts_blue_pistol|Plasmový zásobník
itm_stun_beam_pistol|Omračující zásobník
itm_ion_beam_pistol|Iontový zásobník
itm_sonic_beam_pistol|Sonický zásobník
itm_ammo_belt_pistol|Pás s náboji
itm_disruptor_ammo|Disruptorové náboje do pistole
itm_laser_bolts_green_rifle|Plasmový zásobník
itm_laser_bolts_red_rifle|Plasmový zásobník
itm_laser_bolts_orange_rifle|Plasmový zásobník
itm_laser_bolts_yellow_rifle|Plasmový zásobník
itm_laser_bolts_blue_rifle|Plasmový zásobník
itm_stun_beam_rifle|Omračující zásobník
itm_ion_beam_rifle|Iontový zásobník
itm_sonic_beam_rifle|Sonický zásobník
itm_ammo_belt_rifle|Pásek s náboji
itm_disruptor_ammo_rifle|Disruptorové náboje pro pušku
itm_laser_bolts_training_pistol|Laserové střely
itm_laser_bolts_training_rifle|Laserové střely
itm_force_power_ls_1|Začátečníkovy síly
itm_force_power_ls_2|Učebníkovy síly
itm_force_power_ls_3|Rytířovy síly
itm_force_power_ls_4|Mistrovy síly
itm_force_power_ds_1|Začátečníkovy síly
itm_force_power_ds_2|Učebníkovy síly
itm_force_power_ds_3|Rytířovy síly
itm_force_power_ds_4|Mistrovy síly
itm_force_jump|Síla - skok
itm_a280|A-280
itm_a280_crouch|A-280
itm_a280_stun|Omračující A-280
itm_a295|A-295
itm_a295_crouch|A-295
itm_a295_stun|Omračující A-295
itm_mandalorian_heavy_blaster|Mandaloriánský těžký blaster
itm_corellian_destroyer_blaster|Corellianský blaster ničitel
itm_dlt19|DLT-19
itm_dlt19_scope|DLT-19 s optikou
itm_dlt20a|DLT-20A
itm_e17d|E-17d
itm_dc15a|DC-15A
itm_dc15a_hip|DC-15A
itm_dc15s|DC-15S
itm_trandoshan_acp_array_gun|Trandoshanská řadová ACP zbraň
itm_trandoshan_stun_gun|Trandoshanská omračující zbraň
itm_quicksnap_36t|Rychlý blesk 36T
itm_bothan_bola_carabine|Bothanská karabina
itm_ee3|EE-3
itm_ee3_stun|Omračující EE-3
itm_mg15|RT-97C
itm_e5|E-5
itm_e11|E-11
itm_e11_hip|E-11
itm_e11_stun|Omračující E-11
itm_wookiee_bowcaster|Kuše
itm_kashyyyk_long_gun|Kashyyykská dlouhá zbraň
itm_tusken_rifle|Tuskenská puška
itm_geonosian_sonic_rifle|Geonosianská sonická puška
itm_t21|T-21
itm_senate_rifle|Puška ochranky
itm_kisteer_1284|KiSteer 1284
itm_ion_blaster|Iontový blaster
itm_heavy_repeater|Imperialní těžký opakovač
itm_storm_rifle|Stormtrooperova puška
itm_dh17|DH-17
itm_dh17_stun|Omračující DH-17
itm_se14r|SE-14R
itm_dl44a|DL-44
itm_dl44a_stun|Omračující DL-44
itm_dl44b|Modifikovaný DL-44
itm_q2|Q2
itm_q2_stun|Omračující Q2
itm_elg3a|ELG-3A
itm_elg3a_stun|Omračující ELG-3A
itm_scout_trooper_pistol|Pistole Skaut troopera
itm_ddc_defender|DDC obránce
itm_geonosian_sonic_pistol|Geonosianská sonická pistole
itm_dl18|DL-18
itm_westar|Westar-34
itm_westar_stun|Westar-34
itm_ion_pistol|Iontová pistole
itm_trandoshan_supressor|Trandoshanský potlačitel
itm_wrist_blaster|Wrist jezdecký blaster
itm_practice_dl44|DL-44
itm_dl44a_training|DL-44
itm_dlt19_training|DLT-19 s optikou
itm_heavy_weapons_ammo|Náboje do těžkých zbraní
itm_rocket_launcher|RDP-12 raketomet (ve vývoji)
itm_flame_rifle|CR-24 plamenomet (ve vývoji)
itm_concussion_rifle|W-90 otřesitel (ve vývoji)
itm_force_kill|Síla - smrt
itm_force_choke|Síla - škrcení
itm_force_knockdown|Síla - svalení
itm_force_stun|Síla - omráčení
itm_speeder|Civilní 74-Z kluzák
itm_speeder_rebel|Vojenský 74-Z kluzák
itm_speeder_imperial|Vojenský Z4-Z kluzák
itm_speeder_hutt|Vojenský Z4-Z kluzák
itm_speeder_shadow|Stínový 74-Z kluzák
itm_speeder_fc20|FC-20 kluzák
itm_horus_winged_cruiser|Okřídlený křížník
itm_speeder_dagger|Čepelovitý 74-Z kluzák
itm_practice_speeder|Civilní 74-Z kluzák
itm_arena_speeder|Civilní 74-Z kluzák
