itm_horse_meat|Hästkött
itm_force_pike|Kraft Pik
itm_geonosian_static_pike|Geonosian Statisk Pik
itm_pipe1|Rör
itm_pipe2|Rör
itm_ryyk_blade|Ryyk Blad
itm_ryyk_kerarthorr|Ryyk Kerarthorr Blad
itm_ryyk_blade_chieftain|Hövdings Ryykblad
itm_sith_sword|Sith Svärd
itm_combat_knife|Stridskniv
itm_twilek_dagger|Twi'lek Dolk
itm_vibro_knuckler|Vibro Knogjärn
itm_vibro_blade1|Vibrosvärd
itm_vibro_blade2|Vibrosvärd
itm_vibro_blade3|Vibrosvärd
itm_vibro_blade4|Vibrosvärd
itm_vibro_sword1b|Vibrosvärd
itm_vibro_sword2b|Tvåhandat Vibrosvärd
itm_vibro_sword3_gold|Vibrosvärd
itm_vibro_sword3_blue|Vibrosvärd
itm_vibro_sword3_red|Vibrosvärd
itm_tutorial_lightsaber|Ljussabel
itm_practice_vibro_axe_medium|Gammorean Vibroyxa
itm_practice_vibro_axe_long|BD-1 Skärar Vibroyxa
itm_practice_vibro_axe_long_no_attack|BD-1 Skärar Vibroyxa
itm_practice_vibro_blade|Vibroblad
itm_practice_vibro_sword3a|Vibrosvärd
itm_practice_vibro_sword2b|Tvåhandat Vibrosvärd
itm_practice_vibro_sword1b|Vibrosvärd
itm_quick_battle_armor|Rustning
itm_transparent_helmet_armor|Transparent Hjälm med Kroppsrustning
itm_twilek_female_helmet_armor|Kvinnlig Twi'lek Hjälm med Kroppsrustning
itm_twilek_male_head_bib|Bib Fortuna Huvud
itm_weequay_head_helmet_a|Weequay Huvud
itm_weequay_head_helmet_b|Weequay Huvud
itm_klatooinian_head_helmet_a|Klatooinian Huvud
itm_nikto_head_helmet_a|Nikto Huvud
itm_nikto_head_helmet_b|Nikto Huvud
itm_nikto_head_helmet_c|Nikto Huvud
itm_tarkin_head|Grand Moff Tarkin Huvud
itm_ben_head|Ben Kenobi Huvud
itm_leia_head|Leia Organa Huvud
itm_rancor_body_a|Rancor Kropp
itm_rancor_body_b|Rancor Kropp
itm_rancor_body_c|Rancor Kropp
itm_rancor_attack| 
itm_rancor_keeper_armor|Rancor Vårdares Rustning
itm_yoda_armor|Yoda Rustning och Stol
itm_yoda_lightsaber|Yodas Ljussabel
itm_yoda_speeder|Yodas Transparenta Speeder
itm_jabba_armor|Jabba Rustning och Stol
itm_jabba_attack|Jabba Ingen Attack
itm_jabba_speeder|Jabbas Transparenta Speeder
itm_transparent_head|Transparent Huvud
itm_transparent_body|Transparent Kropp
itm_transparent_hands|Transparenta Händer
itm_transparent_feet|Transparenta Fötter
itm_darth_vader_helmet|Darth Vaders Hjälm
itm_darth_vader_armor|Darth Vaders Rustning
itm_darth_vader_feet|Darth Vaders Fötter
itm_princess_leia_outfit|Prinsessan Leias Utsstyrsel 
itm_princess_leia_blaster|Prinsessan Leias DDC Försvarare
itm_han_solo_outfit|Han Solos Utstyrsel
itm_han_solo_blaster|Han Solos DL-44
itm_luke_skywalker_outfit|Luke Skywalkers Utstyrsel
itm_chewbacca_bowcaster|Chewbaccas Bowcaster
itm_chewbacca_ryyk_blade|Chewbaccas Ryykblad
itm_boba_fett_armor|Boba Fetts Rustning
itm_boba_fett_helmet|Boba Fetts Hjälm
itm_boba_fett_boots|Boba Fetts Stövlar
itm_boba_fett_blaster|Boba Fetts EE-3
itm_joruus_lightsaber|Cbaoths Ljussabel
itm_dengar_armor|Dengars Rustning
itm_dengar_helmet|Dengars Huvudbonad
itm_dengar_boots|Dengars stövlar
itm_dengar_gloves|Dengars Handskar
itm_weequay_vibro_axe|Weequays Vibroyxa
itm_force_throw_lightsaber_green|Kastljussabel
itm_force_throw_lightsaber_blue|Kastljussabel
itm_force_throw_lightsaber_orange|Kastljussabel
itm_force_throw_lightsaber_purple|Kastljussabel
itm_force_throw_lightsaber_yellow|Kastljussabel
itm_force_throw_lightsaber_red|Kastljussabel
itm_force_throw_lightsaber_green_merch|Kastljussabel
itm_force_throw_lightsaber_blue_merch|Kastljussabel
itm_force_throw_lightsaber_orange_merch|Kastljussabel
itm_force_throw_lightsaber_purple_merch|Kastljussabel
itm_force_throw_lightsaber_yellow_merch|Kastljussabel
itm_force_throw_lightsaber_red_merch|Kastljussabel
itm_force_throw_lightsaber_green_pike|Kastlaserpik
itm_force_throw_lightsaber_blue_pike|Kastlaserpik
itm_force_throw_lightsaber_orange_pike|Kastlaserpik
itm_force_throw_lightsaber_purple_pike|Kastlaserpik
itm_force_throw_lightsaber_yellow_pike|Kastlaserpik
itm_force_throw_lightsaber_red_pike|Kastlaserpik
itm_force_throw_lightsaber_red_double|Kastdubbelljussabel
itm_twilek_dagger_throwing|Twi'lek Kastknivar
itm_discblade|Discblad
itm_thermal_detonator1|Termiskdetonator
itm_thermal_detonator2|Termiskdetonator
itm_thermal_detonator3|Termiskdetonator
itm_energy_shield_red_small|Liten Energisköld
itm_energy_shield_blue_small|Liten Energisköld
itm_energy_shield_green_small|Liten Energisköld
itm_energy_shield_yellow_small|Liten Energisköld
itm_energy_shield_red_medium|Mellan-Energisköld
itm_energy_shield_blue_medium|Mellan-Energisköld
itm_energy_shield_green_medium|Mellan-Energisköld
itm_energy_shield_yellow_medium|Mellan-Energisköld
itm_energy_shield_red_large|Stor Energisköld
itm_energy_shield_blue_large|Stor Energisköld
itm_energy_shield_green_large|Stor Energisköld
itm_energy_shield_yellow_large|Stor Energisköld
itm_energy_shield_oval|Oval Energisköld
itm_energy_shield_circle|Cirkulär Energisköld
itm_durasteel_shield_small|Liten Durasteelsköld
itm_durasteel_shield_small_2|Liten Durasteelsköld
itm_durasteel_shield_large|Stor Durasteelsköld
itm_wookiee_shield_small|Liten Wookieesköld
itm_wookiee_shield_large|Stor Wookieesköld
itm_westar_shield|Westar-34 Sköld
itm_ryyk_kerarthorr_shield|Ryyk Kerarthorr Sköld
itm_ryyk_blade_shield|Ryykbladssköld
itm_lightsaber_block_blue|Ljussabelssköld
itm_lightsaber_block_green|Ljussabelssköld
itm_lightsaber_block_orange|Ljussabelssköld
itm_lightsaber_block_purple|Ljussabelssköld
itm_lightsaber_block_red|Ljussabelssköld
itm_lightsaber_block_yellow|Ljussabelssköld
itm_force_block|Kraftblock
itm_force_shield|Kraftsköld
itm_force_protect|Kraftskydd
itm_hero_shield|Transparent Hjältesköld
itm_practice_energy_shield|Övnings Energisköld
itm_tutorial_energy_shield|Handlednings Energisköld
itm_force_throw_lightsaber_t|Kraft Kasta Ljussabel
itm_force_throw_lightsaber_tl|Kraft Kasta Ljussabel
itm_force_lightning_ammo|Kraft Blixtar
itm_force_push_ammo|Kraft Tryck
itm_laser_bolts_green_pistol|Plasma Gas Patron
itm_laser_bolts_red_pistol|Plasma Gas Patron
itm_laser_bolts_orange_pistol|Plasma Gas Patron
itm_laser_bolts_yellow_pistol|Plasma Gas Patron
itm_laser_bolts_blue_pistol|Plasma Gas Patron
itm_stun_beam_pistol|Bedövningsstråls Patron
itm_ion_beam_pistol|Jonstråls Patron
itm_sonic_beam_pistol|Soniskstråls Patron
itm_ammo_belt_pistol|Ammunitionsbälte
itm_disruptor_ammo|Distruptorammunition för Pistoler
itm_laser_bolts_green_rifle|Plasma Gas Patron
itm_laser_bolts_red_rifle|Plasma Gas Patron
itm_laser_bolts_orange_rifle|Plasma Gas Patron
itm_laser_bolts_yellow_rifle|Plasma Gas Patron
itm_laser_bolts_blue_rifle|Plasma Gas Patron
itm_stun_beam_rifle|Bedövningsstråls Patron
itm_ion_beam_rifle|Jonstråls Patron
itm_sonic_beam_rifle|Soniskstråls Patron
itm_ammo_belt_rifle|Ammunitionsbälte
itm_disruptor_ammo_rifle|Distruptorammunition för Gevär
itm_laser_bolts_training_pistol|Laserbult
itm_laser_bolts_training_rifle|Laserbult
itm_force_power_ls_1|Novis Kraftkrafter
itm_force_power_ls_2|Lärlings Kraftkrafter
itm_force_power_ls_3|Riddar Kraftkrafter
itm_force_power_ls_4|Mästar Kraftkrafter
itm_force_power_ds_1|Novis Kraftkrafter
itm_force_power_ds_2|Lärlings Kraftkrafter
itm_force_power_ds_3|Riddar Kraftkrafter
itm_force_power_ds_4|Mästar Kraftkrafter
itm_force_jump|Krafthoppa
itm_a280|A-280
itm_a280_crouch|A-280
itm_a280_stun|Bedövnings A-280
itm_a295|A-295
itm_a295_crouch|A-295
itm_a295_stun|Bedövnings A-295
itm_mandalorian_heavy_blaster|Tung Mandalorisk Blaster
itm_corellian_destroyer_blaster|Correlisk Förstörar Blaster
itm_dlt19|DLT-19
itm_dlt19_scope|DLT-19 med sikte
itm_dlt20a|DLT-20A
itm_e17d|E-17d
itm_dc15a|DC-15A
itm_dc15a_hip|DC-15A
itm_dc15s|DC-15S
itm_trandoshan_acp_array_gun|Trandoshan ACP Array Pistol
itm_trandoshan_stun_gun|Trandoshan Bedövningspistol
itm_quicksnap_36t|QuickSnap 36T
itm_bothan_bola_carabine|Bothan Bola Karabin
itm_ee3|EE-3
itm_ee3_stun|Bedövnings EE-3
itm_mg15|ET-97C
itm_e5|E-5
itm_e11|E-11
itm_e11_hip|E-11
itm_e11_stun|Bedövnings E-11
itm_wookiee_bowcaster|Bowcaster
itm_kashyyyk_long_gun|Kashyyyk Långbössa
itm_tusken_rifle|Tusken Cyclargevär
itm_geonosian_sonic_rifle|Geonosian Sonisktgevär
itm_t21|T-21
itm_senate_rifle|Säkerhetsvakts Gevär
itm_kisteer_1284|KiSteer 1284
itm_ion_blaster|Jon Smällare
itm_heavy_repeater|Tung Imperisk Repeater
itm_storm_rifle|Stormtrupps Gevär
itm_dh17|DH-17
itm_dh17_stun|Bedövnigns DH-17
itm_se14r|SE-14R
itm_dl44a|DL-44
itm_dl44a_stun|Bedövnings DL-44
itm_dl44b|Modifierad DL-44
itm_q2|Q2
itm_q2_stun|Bedövnings Q2
itm_elg3a|ELG-3A
itm_elg3a_stun|Bedövnings ELG-3A
itm_scout_trooper_pistol|Spejartrupps Pistol
itm_ddc_defender|DDC Försvar
itm_geonosian_sonic_pistol|Geonosian Soniskpistol
itm_dl18|DL-18
itm_westar|Westar-34
itm_westar_stun|Bedövnings Westar-34
itm_ion_pistol|Jon Pistol
itm_trandoshan_supressor|Trandoshan Undertryckare
itm_wrist_blaster|Handledsmonterad Blaster
itm_practice_dl44|DL-44
itm_dl44a_training|DL-44
itm_dlt19_training|DLT-19 med sikte
itm_heavy_weapons_ammo|Tung Vapensammunition
itm_rocket_launcher|RDP-12 Raketgevär (under utveckling)
itm_flame_rifle|CR-24 Flammgevär (under utveckling)
itm_concussion_rifle|W-90 Hjärnskakningsgevär (under utveckling)
itm_force_kill|Kraftdöda
itm_force_choke|Kraftstrypa
itm_force_knockdown|Kraftknockout
itm_force_stun|Kraftbedöva
itm_speeder|Civil 74-Z Speederbåge
itm_speeder_rebel|Militär 74-Z Speederbåge
itm_speeder_imperial|Military Z4-Z Speederbåge
itm_speeder_hutt|Military Z4-Z Speederbåge
itm_speeder_shadow|Skugg 74-Z Speederbåge
itm_speeder_fc20|FC-20 Speederbåge
itm_horus_winged_cruiser|Horus Bevingadkryssare
itm_speeder_dagger|Bladad 74-Z speederbåge
itm_practice_speeder|Civil 74-Z Speederbåge
itm_arena_speeder|Civil 74-Z Speederbåge
