1039
qstr_X:_00Y:_00 X:_00,Y:_00
qstr_numpad_9 numpad_9
qstr_num_lock num_lock
qstr_numpad_slash numpad_slash
qstr_numpad_multiply numpad_multiply
qstr_numpad_minus numpad_minus
qstr_numpad_plus numpad_plus
qstr_numpad_enter numpad_enter
qstr_numpad_period numpad_period
qstr_insert insert
qstr_delete delete
qstr_home home
qstr_end end
qstr_page_up page_up
qstr_page_down page_down
qstr_up up
qstr_down down
qstr_left left
qstr_right right
qstr_f1 f1
qstr_f2 f2
qstr_f3 f3
qstr_f4 f4
qstr_f5 f5
qstr_f6 f6
qstr_f7 f7
qstr_f8 f8
qstr_f9 f9
qstr_f10 f10
qstr_f11 f11
qstr_f12 f12
qstr_space space
qstr_escape escape
qstr_enter enter
qstr_tab tab
qstr_back_space back_space
qstr_open_braces open_braces
qstr_close_braces close_braces
qstr_comma comma
qstr_period period
qstr_slash slash
qstr_back_slash back_slash
qstr_equals equals
qstr_minus minus
qstr_semicolon semicolon
qstr_apostrophe apostrophe
qstr_tilde tilde
qstr_caps_lock caps_lock
qstr_left_shift left_shift
qstr_right_shift right_shift
qstr_left_control left_control
qstr_right_control right_control
qstr_left_alt left_alt
qstr_right_alt right_alt
qstr_left_mouse_button left_mouse_button
qstr_right_mouse_button right_mouse_button
qstr_middle_mouse_button middle_mouse_button
qstr_mouse_button_4 mouse_button_4
qstr_mouse_button_5 mouse_button_5
qstr_mouse_button_6 mouse_button_6
qstr_mouse_button_7 mouse_button_7
qstr_mouse_button_8 mouse_button_8
qstr_mouse_scroll_up mouse_scroll_up
qstr_mouse_scroll_down mouse_scroll_down
qstr_too_many_teams_for_A too_many_teams_for_AI
qstr_You_don_t_have_a_Bac You_don't_have_a_Bacta_Injector_in_inventory!
qstr_You_don_t_have_any_B You_don't_have_any_Bacta_Capsules_in_inventory!
qstr_You_were_healed_for_ You_were_healed_for_20_hp_and_have_{reg1}_bacta_capsules_left.
qstr_You_are_not_hurt. You_are_not_hurt.
qstr_Can_t_use_while_moun Can't_use_while_mounted!
qstr_You_don_t_have_a_Jet You_don't_have_a_Jetpack_or_Force_Jump_in_inventory!
qstr_{s1}_switched_to_{s2 {s1}_switched_to_{s2}
qstr_You_have_attacked_a_ You_have_attacked_a_citizen_and_are_now_wanted_by_the_local_authorities!
qstr_Alert Alert
qstr_All_enemies_at_this_ All_enemies_at_this_location_have_been_defeated!
qstr_Success Success
qstr_Cannot_leave_now. Cannot_leave_now.
qstr_As_you_land_your_shi As_you_land_your_ship_you_notice_that_this_area_is_under_attack!
qstr_You_have_been_knocke You_have_been_knocked_out_by_the_enemy._Watch_your_men_continue_the_fight_without_you_or_press_Tab_to_retreat.
qstr_If_you_choose_to_wat If_you_choose_to_watch_the_fight_you_can_use_the_'{s1}'_and_'{s2}'_keys_to_change_your_camera_view.
qstr_A_Power_Droid_refill A_Power_Droid_refilled_your_ammo!
qstr_A_Medical_Droid_refi A_Medical_Droid_refilled_some_of_your_health!
qstr_{reg3?{s1}_s_profici {reg3?{s1}'s_proficiency_in_one_handed_weapon_has_improved_by_{reg2}_to_{reg1}.:{s1}'s_one_handed_weapon_proficiency_have_reach_to_{reg1}.}
qstr_{reg3?{s1}_s_proficie {reg3?{s1}'s_proficiency_in_two_handed_weapon_has_improved_by_{reg2}_to_{reg1}.:{s1}'s_two_handed_weapon_proficiency_have_reach_to_{reg1}.}
qstr_{reg3?{s1}_s_proficien {reg3?{s1}'s_proficiency_in_polearm_has_improved_by_{reg2}_to_{reg1}.:{s1}'s_polearm_proficiency_have_reach_to_{reg1}.}
qstr_{reg3?{s1}_s_proficienc {reg3?{s1}'s_proficiency_in_archery_has_improved_by_{reg2}_to_{reg1}.:{s1}'s_archery_proficiency_have_reach_to_{reg1}.}
qstr_{reg3?{s1}_s_proficiency {reg3?{s1}'s_proficiency_in_crossbow_has_improved_by_{reg2}_to_{reg1}.:{s1}'s_crossbow_proficiency_have_reach_to_{reg1}.}
qstr_{reg3?{s1}_s_proficiency_ {reg3?{s1}'s_proficiency_in_throwing_has_improved_by_{reg2}_to_{reg1}.:{s1}'s_throwing_proficiency_have_reach_to_{reg1}.}
qstr_{reg3?{s1}_s_proficiency_i {reg3?{s1}'s_proficiency_in_firearms_has_improved_by_{reg2}_to_{reg1}.:{s1}'s_firearm_proficiency_have_reach_to_{reg1}.}
qstr_You_have_fallen_in_b You_have_fallen_in_battle._You_can_watch_the_rest_of_the_fight_or_press_tab_to_exit
qstr_You_have_fallen_in_ba You_have_fallen_in_battle._Watch_the_rest_of_the_fight_or_press_tab_to_exit
qstr_Tutorial Tutorial
qstr_You_must_stay_behind You_must_stay_behind_the_line_on_the_ground!_Point_is_not_counted.
qstr_End_the_sparring_mat End_the_sparring_match?
qstr_You_are_not_injured_ You_are_not_injured_and_do_not_need_the_Bacta_Tank_at_this_time.
qstr_You_are_being_healed You_are_being_healed_by_the_Bacta_Tank...
qstr_Walk_into_the_Bacta_ Walk_into_the_Bacta_Tank_to_heal_yourself.
qstr_Space_Combat_practic Space_Combat_practice
qstr_Do_you_wish_to_give_ Do_you_wish_to_give_up_the_fight?
qstr_You_ve_lost_a_total_ You've_lost_a_total_number_of_{reg2}_duels.
qstr_You_ve_won_a_total_n You've_won_a_total_number_of_{reg2}_duels
qstr_{s4}:_M{reg3}_2M{reg {s4}:_M{reg3},_2M{reg4},_PC{reg5},_2PC{reg6},_PM{reg7}
qstr_No_companions_in_par No_companions_in_party!
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr___ _-
qstr__ _
qstr__+ _+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr_Current_party_morale Current_party_morale_is_{reg5}.^Current_party_morale_modifiers_are:^^Base_morale:__+50^Party_size:_{s2}{reg1}^Leadership:_{s3}{reg2}^Food_variety:_{s4}{reg3}{s5}{s6}^Recent_events:_{s7}{reg4}^TOTAL:__{reg5}
qstr_Defending Defending
qstr_Gathering_army Gathering_army
qstr_Besieging_{s11} Besieging_{s11}
qstr_Raiding_{s11} Raiding_{s11}
qstr_Attacking_enemies_ar Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{s9}{s10}^Current_st {s9}{s10}^Current_state:_{s11}^Marshall:_{s12}^Since_the_last_offensive:_{reg1}_hours^Offensive_maximum_followers:_{reg2}^^
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_vi You_are_currently_viewing_{s8}.
qstr_You_are_not_viewing_ You_are_not_viewing_any_holocron's.
qstr_none none
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{s5}_{s6} {s5},_{s6}
qstr_Renown:_{reg2}.^Hono Renown:_{reg2}.^Honour_rating:_{reg3}.^Friends:_{s8}.^Enemies:_{s6}.^{s9}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr_You_are_a_lord_of_{s You_are_a_lord_of_{s8}.^{s9}
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+10^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}^TOTAL:__{reg5}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{s2}^{s4}:_{reg1}__{ {s2}^{s4}:_{reg1}_({s3})
qstr_Your_relation_with_t Your_relation_with_the_factions_are:^{s2}
qstr_late_night late_night
qstr_dawn dawn
qstr_early_morning early_morning
qstr_morning morning
qstr_noon noon
qstr_afternoon afternoon
qstr_late_afternoon late_afternoon
qstr_dusk dusk
qstr_evening evening
qstr_midnight midnight
qstr_You_are_currently_vie You_are_currently_viewing_{s8}_({reg2}%).
qstr_You_are_not_viewing_a You_are_not_viewing_any_holocrons.
qstr_You_don_t_have_enough You_don't_have_enough_territory_for_a_new_commander!
qstr_Player_Kingdom_cultu Player_Kingdom_culture_is_now_Galactic_Empire.
qstr_Player_Kingdom_cultur Player_Kingdom_culture_is_now_Rebel_Alliance.
qstr_Player_Kingdom_culture Player_Kingdom_culture_is_now_Hutt_Cartel.
qstr_Player_Kingdom_culture_ Player_Kingdom_culture_is_now_Human.
qstr_Player_Kingdom_culture_i Player_Kingdom_culture_is_now_Wookiee.
qstr_Player_Kingdom_culture_is Player_Kingdom_culture_is_now_Mandalorian.
qstr_Player_Kingdom_culture_is_ Player_Kingdom_culture_is_now_Clone.
qstr_Player_Kingdom_culture_is_n Player_Kingdom_culture_is_now_Trandoshan.
qstr_{s2}_belongs_to_{s3} {s2},_belongs_to_{s3}
qstr_Currently_enabled Currently_enabled
qstr_Currently_disabled Currently_disabled
qstr_Shield_Bash_integrat Shield_Bash_integration_has_been_disabled.
qstr_Shield_Bash_integrati Shield_Bash_integration_has_been_enabled.
qstr_Frequency_of_random_ Frequency_of_random_scene_battles_was_modified.
qstr_Frequency_of_random_a Frequency_of_random_assassination_attempts_was_modified.
qstr_Currently_Empire_is_ Currently_Empire_is_Blue_&_Rebel_is_Red
qstr_Currently_Empire_is_R Currently_Empire_is_Red_&_Rebel_is_Green
qstr_Currently_Empire_is_B Currently_Empire_is_Blue_&_Rebel_is_Green
qstr_Currently_Empire_is_W Currently_Empire_is_White_&_Rebel_is_Red
qstr_Currently_Empire_is_Wh Currently_Empire_is_White_&_Rebel_is_Green
qstr_Empire_is_now_Red_&_ Empire_is_now_Red_&_Rebel_is_Green.
qstr_Empire_is_now_Blue_& Empire_is_now_Blue_&_Rebel_is_Green.
qstr_Empire_is_now_White_ Empire_is_now_White_&_Rebel_is_Red.
qstr_Empire_is_now_White_& Empire_is_now_White_&_Rebel_is_Green.
qstr_Empire_is_now_Blue_&_ Empire_is_now_Blue_&_Rebel_is_Red.
qstr_This_key_cannot_be_m This_key_cannot_be_modified.
qstr_Enable_the_M&B_Devel Enable_the_M&B_Developers_CHEAT_menu's_&_DEBUG_messages.
qstr_Disable_the_M&B_Deve Disable_the_M&B_Developers_CHEAT_menu's_&_DEBUG_messages.
qstr_CHEAT_and_DEBUG_mess CHEAT_and_DEBUG_messages_are_now_enabled.
qstr_WARNING:__this_mode_ WARNING:__this_mode_was_created_by_the_M&B_developers.
qstr_WARNING:__Functional WARNING:__Functionality_is_unknown_and_has_not_been_tested_by_the_SWC_team.
qstr_CHEAT_and_DEBUG_messa CHEAT_and_DEBUG_messages_are_now_disabled.
qstr_Player_was_moved_to_ Player_was_moved_to_{s1}.
qstr_Player_renown_is_inc Player_renown_is_increased_by_500.
qstr_Player_ship_speed_is Player_ship_speed_is_now_2x_faster.
qstr_Player_ship_speed_is_ Player_ship_speed_is_now_3x_faster.
qstr_Player_ship_speed_is_n Player_ship_speed_is_now_4x_faster.
qstr_Player_ship_speed_is_no Player_ship_speed_is_now_5x_faster.
qstr_Player_ship_speed_is_r Player_ship_speed_is_reset_to_the_default.
qstr_Experience_added_to_ Experience_added_to_player.
qstr_Party_members_added. Party_members_added.
qstr_Increased_relations_ Increased_relations_with_all_factions.
qstr_Decreased_relations_ Decreased_relations_with_all_factions.
qstr_Attributes_skills_an Attributes,_skills_and_proficiencies_raised.
qstr_Credits_&_equipment_ Credits_&_equipment_added_to_player.
qstr_Party_spawned_nearby Party_spawned_nearby.
qstr_Clone_Chambers_Templ Clone_Chambers,_Temples,_Droid_Foundries,_and_Rancor_Pits_were_added_to_all_planets.
qstr_All_planets_are_now_ All_planets_are_now_infested_by_bandits.
qstr_All_village_relation All_village_relationships_were_increased_to_100.
qstr_All_village_relations All_village_relationships_were_decreased_to_-100.
qstr_A_Force_Sensitive_Tr A_Force-Sensitive_Trainer_was_moved_to_{s1}.
qstr_A_Clone_Wars_Era_mer A_Clone_Wars_Era_merchant_was_moved_to_{s1}.
qstr_A_Droid_Parts_mercha A_Droid_Parts_merchant_was_moved_to_{s1}.
qstr_A_Plastic_Surgeon_wa A_Plastic_Surgeon_was_moved_to_{s1}.
qstr_{s2}_was_moved_to_{s {s2}_was_moved_to_{s1}.
qstr_{s2}_is_already_in_y {s2}_is_already_in_your_party,_please_try_again.
qstr_Inventory_sorted. Inventory_sorted.
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_You_start_viewing_{s You_start_viewing_{s2}._After_a_few_minutes,_you_feel_you_could_learn_a_lot_from_this_holocron._You_decide_to_keep_it_close_by_and_view_it_whenever_you_have_the_time.
qstr_You_view_a_few_minut You_view_a_few_minutes_of_{s2},_but_you_find_the_concepts_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_This_week_s_wages:_{ This_week's_wages:_{reg6}_credits.^Earlier_debts:_{reg2}^Total_due:_{reg3}^^Current_cash:_{reg4}_credits.^Bank_account:_{reg7}_credits.^Total_wealth:_{reg8}_credits
qstr_Pay_everything_in_ca Pay_everything_in_cash
qstr_Pay_only_as_much_as_ Pay_only_as_much_as_you_can_in_cash._Your_party_will_lose_morale.
qstr_Pay_everything_from_ Pay_everything_from_your_bank_account
qstr_Pay_only_as_much_as_y Pay_only_as_much_as_you_can_from_your_account._Your_party_will_lose_morale.
qstr_{reg3}_credits_have_ {reg3}_credits_have_been_removed_from_your_bank_account_and_paid_to_your_troops
qstr_{reg7}_credits_have_ {reg7}_credits_have_been_removed_from_your_bank_account_and_paid_to_your_troops
qstr_You_lost_your_duel_a You_lost_your_duel_against_^^{s3}
qstr_You_won_your_duel_ag You_won_your_duel_against_^^{s3}
qstr_You_prepare_to_duel_ You_prepare_to_duel_^^{s3}
qstr_^^^^You_have_fought_ ^^^^You_have_fought_{s3}_{reg5}_times._^^You've_won_{reg6}_times._^^You've_lost_{reg7}_times
qstr_^^^^Dueling_with_you ^^^^Dueling_with_your_own_troops_will_not_count_towards_your_dueling_statistics.
qstr_Villagers Villagers
qstr_You_have_encountered You_have_encountered_{s1}.
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_You_were_victorious! You_were_victorious!
qstr_Battle_was_lost._You Battle_was_lost._Your_forces_were_utterly_crushed.
qstr_Your_companions_carr Your_companions_carry_you_away_from_the_fighting.
qstr_You_have_defeated_th You_have_defeated_the_enemy.
qstr_You_have_retreated_f You_have_retreated_from_the_fight.
qstr_^^Ally_Casualties:{s ^^Ally_Casualties:{s0}
qstr_{s1}_of_{s3}_managed {s1}_of_{s3}_managed_to_escape.
qstr_{s17} {s17}
qstr_Victory_comment._Pla Victory_comment._Player_was_alone
qstr_Ordinary_victory_com Ordinary_victory_comment._The_player_provided_at_least_40_percent_forces.
qstr_Player_participation Player_participation_comment._The_enemy_had_at_least_1k_starting_strength.
qstr_No_victory_comment._ No_victory_comment._The_battle_was_small,_and_the_player_provided_less_than_40_percent_of_allied_strength
qstr_Some_of_your_tendons Some_of_your_tendons_have_been_damaged_in_the_battle._You_lose_1_strength.
qstr_You_took_a_nasty_wou You_took_a_nasty_wound_which_will_cause_you_to_limp_slightly_even_after_it_heals._Your_lose_1_agility.
qstr_You_have_trouble_thi You_have_trouble_thinking_straight_after_the_battle,_perhaps_from_a_particularly_hard_hit_to_your_head,_and_frequent_headaches_now_plague_your_existence._Your_intelligence_is_reduced_by_1.
qstr_Perhaps_I_m_getting_ Perhaps_I'm_getting_unlucky...
qstr_Retirement_is_starti Retirement_is_starting_to_sound_better_and_better.
qstr_No_matter!_I_will_pe No_matter!_I_will_persevere!
qstr_What_did_I_do_to_des What_did_I_do_to_deserve_this?
qstr_I_suppose_it_ll_make I_suppose_it'll_make_for_a_good_story,_at_least...
qstr_Player_retreats_from Player_retreats_from_battle
qstr_{s9}_wants_you_to_fo {s9}_wants_you_to_follow_his_army_until_further_notice.
qstr_{s8}_of_{s9} {s8}_of_{s9}
qstr__Your_own_banner_fli _Your_own_banner_flies_over_the_entrance.
qstr__You_see_the_banner_ _You_see_the_banner_of_{s7}_over_the_entrance.
qstr__This_castle_seems_t _This_castle_seems_to_belong_to_no_one.
qstr__The_citizens_here_h _The_citizens_here_have_declared_their_independence.
qstr_The_{reg6?town_s:cas The_{reg6?town's:castle's}_food_stores_should_last_for_{reg3}_more_days.
qstr_The_{reg6?town_s:cast The_{reg6?town's:castle's}_food_stores_have_run_out_and_the_defenders_are_starving.
qstr_You_re_preparing_to_ You're_preparing_to_attack_the_walls,_the_work_should_finish_in_{reg9}_hours.
qstr_Your_forces_are_buil Your_forces_are_building_a_siege_tower._They_estimate_another_{reg9}_hours_to_complete_the_build.
qstr_The_shields_have_bee The_shields_have_been_destroyed_and_you_are_ready_to_begin_the_attack_at_any_time.
qstr_The_siege_tower_is_b The_siege_tower_is_built_and_ready_to_make_an_assault.
qstr_As_a_last_defensive_ As_a_last_defensive_effort,_you_retreat_to_the_main_hall_of_the_keep._You_and_your_remaining_soldiers_will_put_up_a_desperate_fight_here._If_you_are_defeated,_there's_no_other_place_to_fall_back_to.
qstr_You_ve_been_driven_a You've_been_driven_away_from_the_walls._Now_the_attackers_are_pouring_into_the_streets._IF_you_can_defeat_them,_you_can_perhaps_turn_the_tide_and_save_the_day.
qstr_You_ve_breached_the_ You've_breached_the_planet_shields,_but_the_stubborn_defenders_continue_to_resist_you_on_the_ground!_You'll_have_to_deal_with_them_before_you_can_attack_the_main_hall_at_the_heart_of_the_planet.
qstr_The_planet_is_yours_ The_planet_is_yours,_but_the_remaining_defenders_have_retreated_to_the_main_hall._It_must_fall_before_you_can_complete_your_victory.
qstr_The_remaining_defend The_remaining_defenders_have_retreated_to_the_main_hall_as_a_last_defense._You_must_go_in_and_crush_any_remaining_resistance.
qstr_However_since_you_ar However,_since_you_are_not_a_sworn_{man/follower}_of_{s9},_there_is_no_chance_he_would_recognize_you_as_the_{lord/lady}_of_this_{reg8?town:castle}.
qstr_The_enemy_has_been_f The_enemy_has_been_forced_to_retreat._The_assault_is_over,_but_the_siege_continues.
qstr__This_planet_and_the _This_planet_and_the_surrounding_moons_belong_to_you.
qstr__You_remember_that_t _You_remember_that_this_planet_and_the_surrounding_moons_belong_to_{s7}.
qstr__These_lands_belong_ _These_lands_belong_to_no_one.
qstr__{s3}__{reg9}_. _{s3}_({reg9}).
qstr__The_planet_is_infes _The_planet_is_infested_by_{reg8}_{s35}.
qstr__The_planet_has_been _The_planet_has_been_looted._A_handful_of_souls_scatter_as_you_pass_through_the_burnt_out_houses.
qstr__The_planet_is_being _The_planet_is_being_raided.
qstr_There_are_currently_ There_are_currently_{reg7}_{s3}_available.^^You_have_{reg8}_available_spots_free_in_your_party.^^You_have_enough_credits_to_hire_{reg9}_of_them.^^^^^Currently_you_cannot_hire_any_troops.
qstr_There_are_currently_{ There_are_currently_{reg7}_{s3}_available.^^You_have_{reg8}_available_spots_free_in_your_party.^^You_have_enough_credits_to_hire_{reg9}_of_them.
qstr_The_Droid_Foundry_ca The_Droid_Foundry_can_not_currently_build_any_troops,_please_come_back_later.
qstr_The_Droid_Foundry_can The_Droid_Foundry_can_build_{reg5}_droids.^What_type_of_droids_do_you_want_to_build?
qstr_Try_as_you_might_you Try_as_you_might,_you_could_not_defeat_the_bandits._Infuriated,_they_raze_part_of_the_planet_to_the_ground_to_punish_the_peasants,_and_then_leave_the_burning_wasteland_behind_to_find_more_space_to_plunder.
qstr_planet planet
qstr_{s0} {s0}
qstr_{s18}^{s0} {s18}^{s0}
qstr_The_{s17}_has_no_imp The_{s17}_has_no_improvements.
qstr_The_{s17}_has_the_fo The_{s17}_has_the_following_improvements:^^{s18}
qstr_The_assasins_beat_yo The_assasins_beat_you_down_and_leave_you_for_dead._.
qstr_You_have_fallen._The You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,_then_vanish_into_the_night._They_have_left_you_alive,_if_only_barely.
qstr_Luckily_some_of_your Luckily_some_of_your_companions_come_to_search_for_you_when_you_do_not_return,_and_find_you_lying_by_the_side_of_the_road._They_hurry_you_to_safety_and_dress_your_wounds.
qstr_Luckily_some_passing Luckily_some_passing_townspeople_find_you_lying_by_the_side_of_the_road,_and_recognise_you_as_something_other_than_a_simple_beggar._They_carry_you_to_the_nearest_inn_and_dress_your_wounds.
qstr_You_fail_to_steal_an You_fail_to_steal_any_nerfs.
qstr_You_drive_away_{reg1 You_drive_away_{reg17}_nerfs_from_the_village's_herd.
qstr_You_are_at_{s2}. You_are_at_{s2}.
qstr__This_planet_seems_t _This_planet_seems_to_belong_to_no_one.
qstr__You_have_successful _You_have_successfully_sneaked_in.
qstr_{s13}_A_tournament_w {s13}_A_tournament_will_be_held_here_soon.
qstr___{reg1}_credits_per _({reg1}_credits_per_night)
qstr_Moreover_you_earn_{r Moreover,_you_earn_{reg8}_credits_from_the_clever_bets_you_placed_on_yourself...
qstr_Victory_is_yours!_Yo Victory_is_yours!_You_have_won_this_melee,_but_now_you_must_prepare_yourself_for_the_next_round._
qstr_You_have_been_bested You_have_been_bested_in_this_melee,_but_the_master_of_ceremonies_declares_a_recognition_of_your_skill_and_bravery,_allowing_you_to_take_part_in_the_next_round._
qstr_{s11}^{s12} {s11}^{s12}
qstr_You_were_beaten._The You_were_beaten._The_peasants_are_heartened_by_their_success,_but_the_lesson_you_wanted_to_teach_them_probably_didn't_get_through...
qstr_After_beating_your_l After_beating_your_last_opponent,_you_explain_to_the_peasants_how_to_better_defend_themselves_against_such_an_attack._Hopefully_they'll_take_the_experience_on_board_and_will_be_prepared_next_time.
qstr_The_bandits_are_brok The_bandits_are_broken!_Those_few_who_remain_alive_and_conscious_run_off_with_their_tails_between_their_legs,_terrified_of_the_peasants_and_their_new_champion.
qstr_Try_as_you_might_you_ Try_as_you_might,_you_could_not_defeat_the_bandits._Infuriated,_they_raze_part_of_the_planet_to_the_ground_to_punish_the_peasants,_and_then_leave_the_burning_wasteland_behind_to_find_greener_pastures_to_plunder.
qstr_{s1}_s_Ship {s1}'s_Ship
qstr_^{s3}_=_{reg1}{s1} ^{s3}_=_{reg1}{s1}
qstr_^{s3}_=_{reg1}{s2} ^{s3}_=_{reg1}{s2}
qstr_However_{reg3?You_ar However,_{reg3?You_are:{s1}_is}_unable_to_find_any_trade_goods_that_would_bring_a_profit.
qstr_^Buying_{s4}_here_an ^Buying_{s4}_here_and_selling_it_at_{s5}_would_bring_a_profit_of_{reg6}_credits_per_item.{s3}
qstr_{reg3?You_find:{s1}_ {reg3?You_find:{s1}_finds}_out_the_following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear {s2}^{reg1}_{s1}_earned_{reg0}_experience.
qstr_{s2}^{s1}_earned_an_ {s2}^{s1}_earned_an_additional_{reg0}_experience.
qstr_^You_earned_{reg0}_e ^You_earned_{reg0}_experience.{s2}
qstr_The_training_didn_t_ The_training_didn't_go_well_at_all.
qstr_The_training_didn_t_g The_training_didn't_go_very_well.
qstr_The_training_went_qu The_training_went_quite_well.
qstr_The_training_went_ve The_training_went_very_well.
qstr_The_training_went_pe The_training_went_perfectly.
qstr_{s13}_asked_you_to_r {s13}_asked_you_to_report_to_him_with_at_least_{reg13}_troops.
qstr_{s13}_ordered_you_to {s13}_ordered_you_to_join_the_assault_against_{s14}.
qstr_Find_and_speak_with_ Find_and_speak_with_{s3}_of_{s4}_to_give_him_your_oath_of_homage.
qstr_you you
qstr_Felucia Felucia
qstr_Coruscant Coruscant
qstr_Tatooine Tatooine
qstr_Mustafar Mustafar
qstr_Dantooine Dantooine
qstr_Kashyyyk Kashyyyk
qstr_Raxus_Prime Raxus_Prime
qstr_^^^You_currently_don ^^^You_currently_don't_own_a_spaceship
qstr_^^To_buy_a_new_ship_ ^^To_buy_a_new_ship,_you_will_have_to_sell_your_current_one_first.
qstr_^^^Your_current_ship ^^^Your_current_ship_is_a_{s3}
qstr_^^Your_outstanding_l ^^Your_outstanding_loan_amount_is_{reg7}.
qstr__The_loan_is_due_in_ _The_loan_is_due_in_{reg8}_days.
qstr__The_loan_is_overdue _The_loan_is_overdue.
qstr_Breaking_camp... Breaking_camp...
qstr_Current_wealth:_{reg Current_wealth:_{reg1}
qstr_Your_party_is_spotte Your_party_is_spotted_by_{s1}.
qstr_Party_has_nothing_to Party_has_nothing_to_eat!
qstr_{reg1}_{s1}_{reg2?ha {reg1}_{s1}_{reg2?have:has}_escaped_from_your_party_during_the_night.
qstr_{s1}_of_{s3}_has_bee {s1}_of_{s3}_has_been_released_from_captivity.
qstr_Building_of_{s0}_in_ Building_of_{s0}_in_{s4}_has_been_completed.
qstr_{s1}_has_won_the_tou {s1}_has_won_the_tournament_at_{s2}.
qstr_{s1}_is_infested_by_b {s1}_is_infested_by_bandits_(at_night).
qstr_{s1}_is_no_longer_in {s1}_is_no_longer_infested_by_bandits_(at_night).
qstr_{s1}_is_holding_a_to {s1}_is_holding_a_tournament.
qstr_You_pay_for_accommod You_pay_for_accommodation.
qstr__Your_tactics_skill_ _Your_tactics_skill_has_increased_by_1.
qstr__Your_persuasion_ski _Your_persuasion_skill_has_increased_by_1.
qstr__Your_leadership_ski _Your_leadership_skill_has_increased_by_1.
qstr__Your_intelligence_h _Your_intelligence_has_increased_by_1.
qstr__Your_trade_skill_ha _Your_trade_skill_has_increased_by_1.
qstr__Your_weapon_master_ _Your_weapon_master_skill_has_increased_by_1.
qstr__Your_engineer_skill _Your_engineer_skill_has_increased_by_1.
qstr_You_have_finished_vi You_have_finished_viewing_{s1}.{s2}
qstr_Book_Read Book_Read
qstr_You_must_follow_{s1} You_must_follow_{s1}!
qstr_You_must_follow_{s1}! You_must_follow_{s1}!_This_is_your_last_warning!
qstr_{s1}_is_scouted. {s1}_is_scouted.
qstr_{s1}_has_switched_fr {s1}_has_switched_from_{s2}_to_{s3}.
qstr_running_party_clear running_party_clear
qstr_A_total_of_{reg1}_cr A_total_of_{reg1}_credits_in_tariffs_and_rents_from_your_planets_was_added_to_your_bank_account
qstr_Weekly_Income Weekly_Income
qstr_Your_bank_added_{reg Your_bank_added_{reg10}_credits_interest_to_your_account,_making_your_balance_{reg11}
qstr_{reg65?my_Lady:my_Lo {reg65?my_Lady:my_Lord}
qstr_{reg65?My_Lady:My_Lo {reg65?My_Lady:My_Lord}
qstr_{reg65?madame:sir} {reg65?madame:sir}
qstr_{reg65?Madame:Sir} {reg65?Madame:Sir}
qstr_Utinni! Utinni!
qstr_Guak_wa_Neenee_Cha_B Guak_wa_Neenee_Cha_Ba?
qstr_Bo_Shuda! Bo_Shuda!
qstr_A_duel_that_sounds_l A_duel,_that_sounds_like_an_interesting_idea._We_could_keep_score_and_see_who_is_the_better_fighter!
qstr_Ah_so_you_wish_to_be Ah,_so_you_wish_to_be_beaten_by_me_again,_eh?_I_shall_teach_you_another_lesson_in_the_art_of_dueling
qstr_You_may_have_won_mor You_may_have_won_more_of_our_duels_than_I,_but_that_will_change_today!
qstr_We_seem_to_be_evenly We_seem_to_be_evenly_matched_so_another_duel_should_prove_to_be_interesting.
qstr_You_should_not_be_se You_should_not_be_seeing_this_text.
qstr_I_accept_your_challe I_accept_your_challenge.^Do_you_wish_to_fight_on_speeder_bikes_or_on_foot?
qstr_I_accept_your_challen I_accept_your_challenge._^Let_us_choose_our_weapons.
qstr_speeder_bikes speeder_bikes
