itm_horse_meat|Hästkött
# itm_ryyk_kerarthorr|Ryyk Kerarthorr Blade
# itm_ryyk_blade_chieftain|Chieftain Ryyk Blade
itm_sith_sword|Sith Svärd
# itm_combat_knife|Combat Knife
itm_twilek_dagger|Twi'lek Dolk
# itm_vibro_knuckler|Vibro Knuckler
itm_vibro_blade1|Vibrosvärd
itm_vibro_blade2|Vibrosvärd
itm_vibro_blade3|Vibrosvärd
itm_vibro_blade4|Vibrosvärd
itm_vibro_sword1b|Vibrosvärd
itm_vibro_sword2b|Tvåhandat Vibrosvärd
itm_vibro_sword3_gold|Vibrosvärd
itm_vibro_sword3_blue|Vibrosvärd
itm_vibro_sword3_red|Vibrosvärd
itm_tutorial_lightsaber|Lasersvärd
# itm_practice_vibro_axe_medium|Gamorrean Vibro-Axe
# itm_practice_vibro_axe_long|BD-1 Cutter Vibro-Axe
# itm_practice_vibro_axe_long_no_attack|BD-1 Cutter Vibro-Axe
# itm_practice_vibro_blade|Vibro Blade
itm_practice_vibro_sword3a|Vibrosvärd
itm_practice_vibro_sword2b|Tvåhandat Vibrosvärd
itm_practice_vibro_sword1b|Vibrosvärd
itm_quick_battle_armor|Rustning
# itm_transparent_helmet_armor|Transparent Helmet with Body Armor
# itm_twilek_female_helmet_armor|Twilek Female Helmet with Body Armor
itm_twilek_male_head_bib|Bib Fortuna Huvud
itm_weequay_head_helmet_a|Weequay Huvud
itm_weequay_head_helmet_b|Weequay Huvud
itm_klatooinian_head_helmet_a|Klatooinian Huvud
itm_nikto_head_helmet_a|Nikto Huvud
itm_nikto_head_helmet_b|Nikto Huvud
itm_nikto_head_helmet_c|Nikto Huvud
# itm_tarkin_head|Grand Moff Tarkin Head
itm_ben_head|Ben Kenobi Huvud
itm_leia_head|Leia Organa Huvud
# itm_rancor_body_a|Rancor Body
# itm_rancor_body_b|Rancor Body
# itm_rancor_body_c|Rancor Body
itm_rancor_attack| 
# itm_rancor_keeper_armor|Rancor Keeper Armor
# itm_yoda_armor|Yoda Armor and Chair
# itm_yoda_lightsaber|Yoda's Lightsaber
# itm_yoda_speeder|Yoda's Transparent Speeder
# itm_jabba_armor|Jabba Armor and Chair
# itm_jabba_attack|Jabba No Attack
# itm_jabba_speeder|Jabba's Transparent Speeder
itm_transparent_head|Transparent Huvud
itm_transparent_body|Transparent Kropp
itm_transparent_hands|Transparenta Händer
# itm_transparent_feet|Transparent Feet
# itm_darth_vader_helmet|Darth Vader's Helmet
# itm_darth_vader_armor|Darth Vader's Armor
# itm_darth_vader_feet|Darth Vader's Feet
# itm_princess_leia_outfit|Princess Leia's Outfit
# itm_princess_leia_blaster|Princess Leia's DDC Defender
# itm_han_solo_outfit|Han Solo's Outfit
# itm_han_solo_blaster|Han Solo's DL-44
# itm_luke_skywalker_outfit|Luke Skywalker's Outfit
# itm_chewbacca_bowcaster|Chewbacca's Bowcaster
# itm_chewbacca_ryyk_blade|Chewbacca's Ryyk Blade
# itm_boba_fett_armor|Boba Fett's Armor
# itm_boba_fett_helmet|Boba Fett's Helmet
# itm_boba_fett_boots|Boba Fett's Boots
# itm_boba_fett_blaster|Boba Fett's EE-3
# itm_joruus_lightsaber|Cbaoth's Lightsaber
# itm_dengar_armor|Dengar's Armor
# itm_dengar_helmet|Dengar's Head Wrapping
# itm_dengar_boots|Dengar's Boots
# itm_dengar_gloves|Dengar's Gloves
# itm_weequay_vibro_axe|Weequay's Vibro-Axe
# itm_force_throw_lightsaber_green|Throwing Lightsaber
# itm_force_throw_lightsaber_blue|Throwing Lightsaber
# itm_force_throw_lightsaber_orange|Throwing Lightsaber
# itm_force_throw_lightsaber_purple|Throwing Lightsaber
# itm_force_throw_lightsaber_yellow|Throwing Lightsaber
# itm_force_throw_lightsaber_red|Throwing Lightsaber
# itm_force_throw_lightsaber_green_merch|Throwing Lightsaber
# itm_force_throw_lightsaber_blue_merch|Throwing Lightsaber
# itm_force_throw_lightsaber_orange_merch|Throwing Lightsaber
# itm_force_throw_lightsaber_purple_merch|Throwing Lightsaber
# itm_force_throw_lightsaber_yellow_merch|Throwing Lightsaber
# itm_force_throw_lightsaber_red_merch|Throwing Lightsaber
# itm_force_throw_lightsaber_green_pike|Throwing Lightsaber Pike
# itm_force_throw_lightsaber_blue_pike|Throwing Lightsaber Pike
# itm_force_throw_lightsaber_orange_pike|Throwing Lightsaber Pike
# itm_force_throw_lightsaber_purple_pike|Throwing Lightsaber Pike
# itm_force_throw_lightsaber_yellow_pike|Throwing Lightsaber Pike
# itm_force_throw_lightsaber_red_pike|Throwing Lightsaber Pike
# itm_force_throw_lightsaber_red_double|Throwing Double-Bladed Lightsaber
# itm_twilek_dagger_throwing|Twilek Throwing Daggers
# itm_discblade|Discblade
# itm_thermal_detonator1|Thermal Detonator
# itm_thermal_detonator2|Thermal Detonator
# itm_thermal_detonator3|Thermal Detonator
# itm_energy_shield_red_small|Small Energy Shield
# itm_energy_shield_blue_small|Small Energy Shield
# itm_energy_shield_green_small|Small Energy Shield
# itm_energy_shield_yellow_small|Small Energy Shield
# itm_energy_shield_red_medium|Medium Energy Shield
# itm_energy_shield_blue_medium|Medium Energy Shield
# itm_energy_shield_green_medium|Medium Energy Shield
# itm_energy_shield_yellow_medium|Medium Energy Shield
# itm_energy_shield_red_large|Large Energy Shield
# itm_energy_shield_blue_large|Large Energy Shield
# itm_energy_shield_green_large|Large Energy Shield
# itm_energy_shield_yellow_large|Large Energy Shield
# itm_energy_shield_oval|Oval Energy Shield
# itm_energy_shield_circle|Circular Energy Shield
# itm_durasteel_shield_small|Small Durasteel Shield
# itm_durasteel_shield_small_2|Small Durasteel Shield
# itm_durasteel_shield_large|Large Durasteel Shield
# itm_wookiee_shield_small|Small Wookiee Shield
# itm_wookiee_shield_large|Large Wookiee Shield
# itm_westar_shield|Westar-34 Shield
# itm_ryyk_kerarthorr_shield|Ryyk Kerarthorr Shield
# itm_ryyk_blade_shield|Ryyk Blade Shield
# itm_lightsaber_block_blue|Lightsaber Shield
# itm_lightsaber_block_green|Lightsaber Shield
# itm_lightsaber_block_orange|Lightsaber Shield
# itm_lightsaber_block_purple|Lightsaber Shield
# itm_lightsaber_block_red|Lightsaber Shield
# itm_lightsaber_block_yellow|Lightsaber Shield
# itm_force_block|Force Block
# itm_force_shield|Force Shield
# itm_force_protect|Force Protect
# itm_hero_shield|Transparent Hero Shield
# itm_practice_energy_shield|Practice Energy Shield
# itm_tutorial_energy_shield|Tutorial Energy Shield
# itm_force_throw_lightsaber_t|Force Throw Lightsaber
# itm_force_throw_lightsaber_tl|Force Throw Lightsaber
# itm_force_lightning_ammo|Force Lightning
# itm_force_push_ammo|Force Push
# itm_laser_bolts_green_pistol|Plasma Gas Cartridges
# itm_laser_bolts_red_pistol|Plasma Gas Cartridges
# itm_laser_bolts_orange_pistol|Plasma Gas Cartridges
# itm_laser_bolts_yellow_pistol|Plasma Gas Cartridges
# itm_laser_bolts_blue_pistol|Plasma Gas Cartridges
# itm_stun_beam_pistol|Stun Beam Cartridges
# itm_ion_beam_pistol|Ion Beam Cartridges
# itm_sonic_beam_pistol|Sonic Beam Cartridges
# itm_ammo_belt_pistol|Ammo Belt
# itm_disruptor_ammo|Disruptor Ammo for Pistols
# itm_laser_bolts_green_rifle|Plasma Gas Cartridges
# itm_laser_bolts_red_rifle|Plasma Gas Cartridges
# itm_laser_bolts_orange_rifle|Plasma Gas Cartridges
# itm_laser_bolts_yellow_rifle|Plasma Gas Cartridges
# itm_laser_bolts_blue_rifle|Plasma Gas Cartridges
# itm_stun_beam_rifle|Stun Beam Cartridges
# itm_ion_beam_rifle|Ion Beam Cartridges
# itm_sonic_beam_rifle|Sonic Beam Cartridges
# itm_ammo_belt_rifle|Ammo Belt
# itm_disruptor_ammo_rifle|Disruptor Ammo for Rifles
# itm_laser_bolts_training_pistol|Laser Bolts
# itm_laser_bolts_training_rifle|Laser Bolts
# itm_force_power_ls_1|Initiate Force Powers
# itm_force_power_ls_2|Apprentice Force Powers
# itm_force_power_ls_3|Knight Force Powers
# itm_force_power_ls_4|Master Force Powers
# itm_force_power_ds_1|Initiate Force Powers
# itm_force_power_ds_2|Apprentice Force Powers
# itm_force_power_ds_3|Knight Force Powers
# itm_force_power_ds_4|Master Force Powers
# itm_force_jump|Force Jump
# itm_a280|A-280
# itm_a280_crouch|A-280
# itm_a280_stun|Stun A-280
# itm_a295|A-295
# itm_a295_crouch|A-295
# itm_a295_stun|Stun A-295
# itm_mandalorian_heavy_blaster|Mandalorian Heavy Blaster
# itm_corellian_destroyer_blaster|Corellian Destroyer Blaster
# itm_dlt19|DLT-19
# itm_dlt19_scope|DLT-19 with Scope
# itm_dlt20a|DLT-20A
# itm_e17d|E-17d
# itm_dc15a|DC-15A
# itm_dc15a_hip|DC-15A
# itm_dc15s|DC-15S
# itm_trandoshan_acp_array_gun|Trandoshan ACP Array Gun
# itm_trandoshan_stun_gun|Trandoshan Stun Gun
# itm_quicksnap_36t|QuickSnap 36T
# itm_bothan_bola_carabine|Bothan Bola Carabine
# itm_ee3|EE-3
# itm_ee3_stun|Stun EE-3
# itm_mg15|RT-97C
# itm_e5|E-5
# itm_e11|E-11
# itm_e11_hip|E-11
# itm_e11_stun|Stun E-11
# itm_wookiee_bowcaster|Bowcaster
# itm_kashyyyk_long_gun|Kashyyyk Long Gun
# itm_tusken_rifle|Tusken Cycler Rifle
# itm_geonosian_sonic_rifle|Geonosian Sonic Rifle
# itm_t21|T-21
# itm_senate_rifle|Security Guard Rifle
# itm_kisteer_1284|KiSteer 1284
# itm_ion_blaster|Ion Blaster
# itm_heavy_repeater|Imperial Heavy Repeater
itm_storm_rifle|Stormtrooper Gevär
# itm_dh17|DH-17
# itm_dh17_stun|Stun DH-17
# itm_se14r|SE-14R
# itm_dl44a|DL-44
# itm_dl44a_stun|Stun DL-44
# itm_dl44b|Modified DL-44
# itm_q2|Q2
# itm_q2_stun|Stun Q2
# itm_elg3a|ELG-3A
# itm_elg3a_stun|Stun ELG-3A
# itm_scout_trooper_pistol|Scout Trooper Pistol
# itm_ddc_defender|DDC Defender
# itm_geonosian_sonic_pistol|Geonosian Sonic Pistol
# itm_dl18|DL-18
# itm_westar|Westar-34
# itm_westar_stun|Stun Westar-34
# itm_ion_pistol|Ion Pistol
# itm_trandoshan_supressor|Trandoshan Supressor
# itm_wrist_blaster|Wrist Mounted Blaster
# itm_practice_dl44|DL-44
# itm_dl44a_training|DL-44
# itm_dlt19_training|DLT-19 with Scope
# itm_heavy_weapons_ammo|Heavy Weapons Ammo
# itm_rocket_launcher|RDP-12 Rocket Launcher (in development)
# itm_flame_rifle|CR-24 Flame Rifle (in development)
# itm_concussion_rifle|W-90 Concussion Rifle (in development)
# itm_force_kill|Force Kill
# itm_force_choke|Force Choke
# itm_force_knockdown|Force Knockdown
# itm_force_stun|Force Stun
# itm_speeder|Civilian 74-Z Speeder Bike
# itm_speeder_rebel|Military 74-Z Speeder Bike
# itm_speeder_imperial|Military Z4-Z Speeder Bike
# itm_speeder_hutt|Military Z4-Z Speeder Bike
# itm_speeder_shadow|Shadow 74-Z Speeder Bike
# itm_speeder_fc20|FC-20 Speeder Bike
# itm_horus_winged_cruiser|Horus Winged Cruiser
# itm_speeder_dagger|Bladed 74-Z Speeder Bike
# itm_practice_speeder|Civilian 74-Z Speeder Bike
# itm_arena_speeder|Civilian 74-Z Speeder Bike
