itm_horse_meat|Pferdefleisch
itm_lightsaber_red_pike|Lichtschwert-Pike
itm_darth_vader_lightsaber|Darth Vaders Lichtschwert
itm_obi_wan_lightsaber|Obi-Wan Kenobis Lichtschwert
itm_luke_skywalker_lightsaber|Luke Skywalkers Lichtschwert
itm_anakin_skywalker_lightsaber|Anakin Skywalkers Lichtschwert
itm_lightsaber_red_multikill|Mehrfachtreffer Lichtschwert (in Entwicklung)
itm_melee_punch| 
itm_durasteel_staff|Durastahl-Stab
itm_electro_staff_medium|Elektrostab
itm_electro_staff_long|Elektrostab
itm_gamorrean_axe_1h|Gamorreanische Einhand-Axt
itm_gamorrean_axe_2h|Gamorreanische Zweihand-Axt
itm_vibro_axe_medium_1h|Einhand Vibro-Axt
itm_vibro_axe_medium_2h|Zweihand Vibro-Axt
itm_vibro_axe_long_1h|Einhand Vibro-Axt
itm_vibro_axe_long_2h|BD-1 Schnitter Vibro-Axt
itm_tusken_gaffi_staff|Gaffi-Stab
itm_tusken_gaffi_stick|Gaffi-Stock
itm_durasteel_mace|Durastahl-Keule
itm_baton|Schlagstock
itm_trandoshan_blade|Trandoshanische Klinge
itm_durasteel_bat|Durastahl-Schläger
itm_force_pike|Machtlanze
itm_geonosian_static_pike|Geonosianische Statik-Pike
itm_pipe1|Rohr
itm_pipe2|Rohr
itm_ryyk_blade|Ryyk-Klinge
itm_ryyk_kerarthorr|Ryyk-Kerarthorr-Klinge
itm_ryyk_blade_chieftain|Häuptlings-Ryyk-Klinge
itm_sith_sword|Sith-Schwert
itm_combat_knife|Kampfmesser
itm_twilek_dagger|Twi'lek-Dolch
itm_vibro_knuckler|Vibro-Schlagring
itm_vibro_blade1|Vibroklinge
itm_vibro_blade2|Vibroklinge
itm_vibro_blade3|Vibroklinge
itm_vibro_blade4|Vibroklinge
itm_vibro_sword1b|Vibroschwert
itm_vibro_sword2b|Zweihänder-Vibroschwert
itm_vibro_sword3_gold|Vibroschwert
itm_vibro_sword3_blue|Vibroschwert
itm_vibro_sword3_red|Vibroschwert
itm_tutorial_lightsaber|Lichtschwert
itm_practice_vibro_axe_medium|Gamorreanische Vibro-Axt
itm_practice_vibro_axe_long|BD-1 Schnitter-Vibro-Axt
itm_practice_vibro_axe_long_no_attack|BD-1 Schnitter-Vibro-Axt
itm_practice_vibro_blade|Vibroklinge
itm_practice_vibro_sword3a|Vibroschwert
itm_practice_vibro_sword2b|Zweihänder-Vibroschwert
itm_practice_vibro_sword1b|Vibroschwert
itm_quick_battle_armor|Rüstung
itm_transparent_helmet_armor|Transparenter Helm mit Körperrüstung
itm_twilek_female_helmet_armor|Twi'lekfrauen Helm mit Körperrüstung
itm_twilek_male_head_bib|Bib Fortuna Kopf
itm_weequay_head_helmet_a|Weequay Kopf
itm_weequay_head_helmet_b|Weequay Kopf
itm_klatooinian_head_helmet_a|Klatooinianer Kopf
itm_nikto_head_helmet_a|Nikto Kopf
itm_nikto_head_helmet_b|Nikto Kopf
itm_nikto_head_helmet_c|Nikto Kopf
itm_tarkin_head|Groß-Moff Tarkin Kopf
itm_ben_head|Ben Kenobi Kopf
itm_leia_head|Leia Organa Kopf
itm_rancor_body_a|Rancor-Körper
itm_rancor_body_b|Rancor-Körper
itm_rancor_body_c|Rancor-Körper
itm_rancor_attack| 
itm_rancor_keeper_armor|Rancor-Pfleger-Rüstung
itm_yoda_armor|Yoda-Rüstung und Sessel
itm_yoda_lightsaber|Yoda's Lichtschwert
itm_yoda_speeder|Yoda's Transparenter Speeder
itm_jabba_armor|Jabba-Rüstung und Sessel
itm_jabba_attack|Jabba_No_Attack
itm_jabba_speeder|Jabba's Transparenter Speeder
itm_transparent_head|Transparenter Kopf
itm_transparent_body|Transparenter Körper
itm_transparent_hands|Transparente Hände
itm_transparent_feet|Transparente Füße
itm_darth_vader_helmet|Darth Vaders Helm
itm_darth_vader_armor|Darth Vaders Rüstung
itm_darth_vader_feet|Darth Vaders Füße
itm_princess_leia_outfit|Prinzessin Leias Ausstattung
itm_princess_leia_blaster|Prinzessin Leias DDC-Verteidiger
itm_han_solo_outfit|Han Solos Ausstattung
itm_han_solo_blaster|Han Solos DL-44
itm_luke_skywalker_outfit|Luke Skywalkers Ausstattung
itm_chewbacca_bowcaster|Chewbaccas Bogen-Streubüchse
itm_chewbacca_ryyk_blade|Chewbaccas Ryyk-Klinge
itm_boba_fett_armor|Boba Fetts Rüstung
itm_boba_fett_helmet|Boba Fetts Helm
itm_boba_fett_boots|Boba Fetts Stiefel
itm_boba_fett_blaster|Boba Fetts EE-3
itm_joruus_lightsaber|Cbaoths Lichtschwert
itm_dengar_armor|Dengars Rüstung
itm_dengar_helmet|Dengars Kopftuch
itm_dengar_boots|Dengars Stiefel
itm_dengar_gloves|Dengars Handschuhe
itm_weequay_vibro_axe|Weequays Vibro-Axt
itm_force_throw_lightsaber_green|Wurf-Lichtschwert
itm_force_throw_lightsaber_blue|Wurf-Lichtschwert
itm_force_throw_lightsaber_orange|Wurf-Lichtschwert
itm_force_throw_lightsaber_purple|Wurf-Lichtschwert
itm_force_throw_lightsaber_yellow|Wurf-Lichtschwert
itm_force_throw_lightsaber_red|Wurf-Lichtschwert
itm_force_throw_lightsaber_green_merch|Wurf-Lichtschwert
itm_force_throw_lightsaber_blue_merch|Wurf-Lichtschwert
itm_force_throw_lightsaber_orange_merch|Wurf-Lichtschwert
itm_force_throw_lightsaber_purple_merch|Wurf-Lichtschwert
itm_force_throw_lightsaber_yellow_merch|Wurf-Lichtschwert
itm_force_throw_lightsaber_red_merch|Wurf-Lichtschwert
itm_force_throw_lightsaber_green_pike|Wurf-Lichtschwert-Pike
itm_force_throw_lightsaber_blue_pike|Wurf-Lichtschwert-Pike
itm_force_throw_lightsaber_orange_pike|Wurf-Lichtschwert-Pike
itm_force_throw_lightsaber_purple_pike|Wurf-Lichtschwert-Pike
itm_force_throw_lightsaber_yellow_pike|Wurf-Lichtschwert-Pike
itm_force_throw_lightsaber_red_pike|Wurf-Lichtschwert-Pike
itm_force_throw_lightsaber_red_double|Doppelklingen Wurf-Lichtschwert
itm_twilek_dagger_throwing|Twi'lek-Wurfdolche
itm_discblade|Scheibenklinge
itm_thermal_detonator1|Thermaldetonator
itm_thermal_detonator2|Thermaldetonator
itm_thermal_detonator3|Thermaldetonator
itm_energy_shield_red_small|Kleines Energie-Schild
itm_energy_shield_blue_small|Kleines Energie-Schild
itm_energy_shield_green_small|Kleines Energie-Schild
itm_energy_shield_yellow_small|Kleines Energie-Schild
itm_energy_shield_red_medium|Mittleres Energie-Schild
itm_energy_shield_blue_medium|Mittleres Energie-Schild
itm_energy_shield_green_medium|Mittleres Energie-Schild
itm_energy_shield_yellow_medium|Mittleres Energie-Schild
itm_energy_shield_red_large|Großes Energie-Schild
itm_energy_shield_blue_large|Großes Energie-Schild
itm_energy_shield_green_large|Großes Energie-Schild
itm_energy_shield_yellow_large|Großes Energie-Schild
itm_energy_shield_oval|Ovales Energie-Schild
itm_energy_shield_circle|Zirkular Energie-Schild
itm_durasteel_shield_small|Kleines Durastahl-Schild
itm_durasteel_shield_small_2|Kleines Durastahl-Schild
itm_durasteel_shield_large|Großes Durastahl-Schild
itm_wookiee_shield_small|Kleines Wookiee-Schild
itm_wookiee_shield_large|Großes Wookiee-Schild
itm_westar_shield|Westar-34-Schild
itm_ryyk_kerarthorr_shield|Ryyk-Kerarthorr-Schild
itm_ryyk_blade_shield|Ryyk-Klingen-Schild
itm_lightsaber_block_blue|Lichtschwert-Schild
itm_lightsaber_block_green|Lichtschwert-Schild
itm_lightsaber_block_orange|Lichtschwert-Schild
itm_lightsaber_block_purple|Lichtschwert-Schild
itm_lightsaber_block_red|Lichtschwert-Schild
itm_lightsaber_block_yellow|Lichtschwert-Schild
itm_force_block|Macht-Block
itm_force_shield|Macht-Schild
itm_force_protect|Macht-Schutz
itm_hero_shield|Transparenter Helden-Schild
itm_practice_energy_shield|Übungs-Energie-Schild
itm_tutorial_energy_shield|Tutorial-Energie-Schild
itm_force_throw_lightsaber_t|Macht-Wurf-Lichtschwert
itm_force_throw_lightsaber_tl|Macht-Wurf-Lichtschwert
itm_force_lightning_ammo|Macht-Blitz
itm_force_push_ammo|Macht-Stoß
itm_laser_bolts_green_pistol|Plasma-Gas-Patronen
itm_laser_bolts_red_pistol|Plasma-Gas-Patronen
itm_laser_bolts_orange_pistol|Plasma-Gas-Patronen
itm_laser_bolts_yellow_pistol|Plasma-Gas-Patronen
itm_laser_bolts_blue_pistol|Plasma-Gas-Patronen
itm_stun_beam_pistol|Betäubungsstrahl-Patronen
itm_ion_beam_pistol|Ionenstrahl-Patronen
itm_sonic_beam_pistol|Schallstrahl-Patronen
itm_ammo_belt_pistol|Patronengürtel
itm_disruptor_ammo|Disruptor-Munition für Pistolen
itm_laser_bolts_green_rifle|Plasma-Gas-Patronen
itm_laser_bolts_red_rifle|Plasma-Gas-Patronen
itm_laser_bolts_orange_rifle|Plasma-Gas-Patronen
itm_laser_bolts_yellow_rifle|Plasma-Gas-Patronen
itm_laser_bolts_blue_rifle|Plasma-Gas-Patronen
itm_stun_beam_rifle|Betäubungsstrahl-Patronen
itm_ion_beam_rifle|Ionenstrahl-Patronen
itm_sonic_beam_rifle|Schallstrahl-Patronen
itm_ammo_belt_rifle|Patronengürtel
itm_disruptor_ammo_rifle|Disruptor-Munition für Gewehre
itm_laser_bolts_training_pistol|Laser-Bolzen
itm_laser_bolts_training_rifle|Laser-Bolzen
itm_force_power_ls_1|Helle-Seite-Eingeweihten-Machtkraft
itm_force_power_ls_2|Helle-Seite-Schüler-Machtkraft
itm_force_power_ls_3|Helle-Seite-Ritter-Machtkraft
itm_force_power_ls_4|Helle-Seite-Meister-Machtkraft
itm_force_power_ds_1|Dunkle-Seite-Eingeweihten-Machtkraft
itm_force_power_ds_2|Dunkle-Seite-Schüler-Machtkraft
itm_force_power_ds_3|Dunkle-Seite-Ritter-Machtkraft
itm_force_power_ds_4|Dunkle-Seite-Meister-Machtkraft
itm_force_jump|Machtsprung
itm_a280|A-280
itm_a280_crouch|A-280
itm_a280_stun|Betäubungs-A-280
itm_a295|A-295
itm_a295_crouch|A-295
itm_a295_stun|Betäubungs-A-295
itm_mandalorian_heavy_blaster|Mandalorianischer Schwerer-Blaster
itm_corellian_destroyer_blaster|Corellianischer Zerstörer-Blaster
itm_dlt19|DLT-19
itm_dlt19_scope|DLT-19 mit Zielfernrohr
itm_dlt20a|DLT-20A
itm_e17d|E-17d
itm_dc15a|DC-15A
itm_dc15a_hip|DC-15A
itm_dc15s|DC-15S
itm_trandoshan_acp_array_gun|Trandoshanisches ACP-Array-Geschütz
itm_trandoshan_stun_gun|Trandoshanisches Betäubungs-Geschütz
itm_quicksnap_36t|Schnellschuß 36T
itm_bothan_bola_carabine|Bothanischer Bola-Karabiner
itm_ee3|EE-3
itm_ee3_stun|Betäubungs-EE-3
itm_mg15|RT-97C
itm_e5|E-5
itm_e11|E-11
itm_e11_hip|E-11
itm_e11_stun|Betäubungs-E-11
itm_wookiee_bowcaster|Bogen-Streubüchse
itm_kashyyyk_long_gun|Lange Kashyyyk-Kanone
itm_tusken_rifle|Tusken Kreis-Gewehr
itm_geonosian_sonic_rifle|Geonosianisches Schall-Gewehr
itm_t21|T-21
itm_senate_rifle|Sicherheitswächter-Gewehr
itm_kisteer_1284|KiSteer 1284
itm_ion_blaster|Ionen-Blaster
itm_heavy_repeater|Imeriales Schweres Repetiergewehr
itm_storm_rifle|Sturmtruppen-Gewehr
itm_dh17|DH-17
itm_dh17_stun|Betäubungs-DH-17
itm_se14r|SE-14R
itm_dl44a|DL-44
itm_dl44a_stun|Betäubungs-DL-44
itm_dl44b|Modifizierte DL-44
itm_q2|Q2
itm_q2_stun|Betäubungs-Q2
itm_elg3a|ELG-3A
itm_elg3a_stun|Betäubungs-ELG-3A
itm_scout_trooper_pistol|Spähtruppen-Pistole
itm_ddc_defender|DDC Verteidiger
itm_geonosian_sonic_pistol|Geonosianische Schall-Pistole
itm_dl18|DL-18
itm_westar|Westar-34
itm_westar_stun|Betäubungs-Westar-34
itm_ion_pistol|Ionen-Pistole
itm_trandoshan_supressor|Trandoshanischer Unterdrücker
itm_wrist_blaster|Handgelenks-Blaster
itm_practice_dl44|DL-44
itm_dl44a_training|DL-44
itm_dlt19_training|DLT-19 mit Zielfernrohr
itm_heavy_weapons_ammo|Schwere Waffen-Munition
itm_rocket_launcher|RDP-12 Raketenwerfer
itm_flame_rifle|CR-24 Flammen-Gewehr
itm_concussion_rifle|W-90 Konkussions-Gewehr
itm_force_kill|Macht-Töten
itm_force_choke|Macht-Würgen
itm_force_knockdown|Macht-Niederschlagen
itm_force_stun|Macht-Betäuben
itm_speeder|Ziviles 74-Z Speeder-Bike
itm_speeder_rebel|Reb.-Militär 74-Z Speeder-Bike
itm_speeder_imperial|Imp.-Militär Z4-Z Speeder-Bike
itm_speeder_hutt|Hutt-Militär Z4-Z Speeder-Bike
itm_speeder_shadow|Schatten 74-Z Speeder-Bike
itm_speeder_fc20|FC-20 Speeder-Bike
itm_horus_winged_cruiser|Kreuzer mit Horusflügeln
itm_speeder_dagger|Dolch 74-Z Speeder-Bike
itm_practice_speeder|Ziviles 74-Z Speeder-Bike
itm_arena_speeder|Ziviles 74-Z Speeder-Bike
